,timestamp,AKBNK.E_price_change,YKBNK.E_price_change
0,2022-02-24 07:33:11.312582,0.4166666666666652,"Series([], dtype: float64)"
1,2022-02-24 07:33:32.546033,0.6839945280437743,"Series([], dtype: float64)"
2,2022-02-24 07:33:32.547633,0.4092769440654953,"Series([], dtype: float64)"
3,2022-02-24 07:33:40.778223,0.4115226337448652,0.0
4,2022-02-24 07:33:47.642370,0.4098360655737654,0.0
5,2022-02-24 07:35:08.474280,0.5524861878453136,0.0
6,2022-02-25 07:00:00.174362,0.42016806722688926,-1.1235955056179803
7,2022-02-25 07:00:18.601869,0.4243281471004279,0.0
8,2022-04-11 12:25:59.259418,0.34129692832765013,"Series([], dtype: float64)"
9,2022-04-29 07:36:42.566698,0.33444816053511683,"Series([], dtype: float64)"
10,2022-05-12 07:00:02.598705,0.356718192627814,0.43290043290042934
11,2022-05-20 07:24:47.012389,0.3654080389768666,0.0
12,2022-06-27 07:02:16.138043,0.35211267605634866,"Series([], dtype: float64)"
13,2022-08-10 07:58:27.624086,0.31088082901553626,0.0
14,2022-08-10 07:58:27.627451,0.31023784901758056,0.0
15,2022-08-18 11:00:31.891434,0.7136485280999194,0.0
16,2022-08-18 11:00:34.578988,0.5371530886302489,0.0
17,2022-08-18 11:01:02.126802,0.35460992907800915,0.0
18,2022-08-22 07:00:00.390609,0.7677543186180413,0.5347593582887722
19,2022-08-22 07:00:01.735654,0.8670520231213841,-0.35650623885918886
20,2022-08-26 07:45:49.546978,0.32102728731941976,0.14598540145984717
21,2022-08-26 07:45:49.550220,0.3207698476343168,0.0
22,2022-08-26 13:47:24.407589,0.31471282454760274,0.0
23,2022-08-26 14:34:01.116001,0.3215434083601254,-0.4237288135593209
24,2022-08-26 14:35:40.344061,0.3297609233305909,0.14513788098693414
25,2022-08-26 14:36:43.394570,0.4125412541254203,-0.29197080291971655
26,2022-08-26 14:39:00.565777,0.32546786004881145,0.0
27,2022-08-29 07:05:15.454436,0.33057851239668423,0.14184397163119478
28,2022-09-06 08:17:40.986134,0.3455425017277136,-0.2544529262086481
29,2022-09-06 08:46:04.346006,0.3429355281207025,0.12515644555695093
30,2022-09-07 07:00:00.640243,0.32113037893384266,0.36275695284160303
31,2022-09-07 07:00:00.640614,0.3856041131105492,0.36275695284160303
32,2022-09-07 07:00:06.954551,0.3207184092366866,0.12091898428052694
33,2022-09-07 07:00:16.580590,0.322997416020665,0.36452004860267895
34,2022-09-07 07:00:47.957086,0.3295978905734964,-0.3685503685503688
35,2022-09-07 07:00:51.515206,0.33178500331785266,-0.12269938650306678
36,2022-09-07 07:55:06.149060,0.39344262295082366,0.12360939431397266
37,2022-09-07 14:47:10.470088,0.31867431485022024,0.0
38,2022-09-07 14:49:54.857053,0.319284802043418,-0.12594458438286438
39,2022-09-12 07:00:00.191257,0.3026634382566673,0.8421052631578885
40,2022-09-12 07:00:07.584557,0.5418422636965792,0.5208333333333259
41,2022-09-12 07:00:07.982897,0.30030030030030463,-0.8350730688935215
42,2022-09-12 07:00:15.778657,0.3012048192771122,0.9374999999999911
43,2022-09-12 07:04:35.186761,0.35440047253396667,0.10256410256410664
44,2022-09-12 07:05:23.723823,0.35460992907800915,0.0
45,2022-09-12 07:11:10.505450,0.30284675953966556,0.0
46,2022-09-12 07:18:03.461438,0.6785934608266597,0.21551724137931494
47,2022-09-13 07:00:03.188065,0.3325942350332678,0.40816326530612734
48,2022-09-13 07:10:13.431343,0.5178365937859697,-0.2072538860103723
49,2022-09-13 07:10:25.521606,0.34403669724769603,0.10341261633919352
50,2022-09-13 07:21:34.347920,0.4899292324441973,0.19900497512437276
51,2022-09-13 09:38:03.053980,0.33277870216306127,0.10672358591248265
52,2022-09-13 09:38:09.684528,0.4977876106194712,-0.32017075773747017
53,2022-09-13 09:38:26.829829,0.5449591280654031,0.10593220338983578
54,2022-09-13 09:38:26.830188,0.3252032520325132,0.10593220338983578
55,2022-09-13 09:38:52.488361,0.7559395248380119,-0.21008403361344463
56,2022-09-13 09:38:52.491122,0.6966773847802754,-0.21008403361344463
57,2022-09-13 09:38:52.491988,2.4271844660194164,-0.21008403361344463
58,2022-09-13 09:39:53.767475,0.42964554242750363,-0.42238648363253084
59,2022-09-13 09:43:29.157540,0.37573805689747886,-0.10582010582009804
60,2022-09-13 10:07:35.606866,0.3945885005637084,"Series([], dtype: float64)"
61,2022-09-13 10:07:54.333988,0.3325942350332678,"Series([], dtype: float64)"
62,2022-09-13 10:18:12.411371,0.331308669243513,"Series([], dtype: float64)"
63,2022-09-13 10:20:20.819207,0.3325942350332678,"Series([], dtype: float64)"
64,2022-09-13 10:25:31.745654,0.33651149747615516,-0.10869565217390686
65,2022-09-13 10:36:32.008691,0.37573805689747886,0.20876826722338038
66,2022-09-13 13:01:45.335543,0.44893378226711356,0.21905805038335835
67,2022-09-13 13:02:23.759595,0.3950338600451575,0.22099447513812542
68,2022-09-13 13:03:22.260631,0.39886039886039004,0.22246941045607205
69,2022-09-13 14:17:21.319469,0.46136101499423265,0.0
70,2022-09-13 14:37:45.051106,0.35842293906809264,"Series([], dtype: float64)"
71,2022-09-13 14:37:45.072995,0.657108721624855,"Series([], dtype: float64)"
72,2022-09-13 14:37:45.223703,0.30066145520144527,"Series([], dtype: float64)"
73,2022-09-13 14:37:50.366422,0.3597122302158251,"Series([], dtype: float64)"
74,2022-09-13 14:37:57.592222,0.3024803387779773,"Series([], dtype: float64)"
75,2022-09-13 14:38:01.700546,0.3629764065335772,"Series([], dtype: float64)"
