,timestamp,ISCTR.E_price_change,YKBNK.E_price_change
0,2022-01-18 14:26:05.301930,0.37406483790523026,"Series([], dtype: float64)"
1,2022-01-19 07:21:26.055659,0.37783375314861534,0.0
2,2022-01-20 12:02:14.462533,0.36809815950920033,0.24999999999999467
3,2022-02-24 07:33:43.866761,0.3802281368821214,0.2732240437158362
4,2022-02-24 07:37:57.783417,0.37974683544304,0.0
5,2022-02-28 07:02:44.038319,0.3712871287128605,0.0
6,2022-04-11 11:31:53.055926,0.665399239543718,0.1996007984031989
7,2022-04-13 14:59:56.149779,0.38058991436726863,0.1988071570576455
8,2022-04-22 13:56:08.467915,0.37037037037037646,0.0
9,2022-06-10 07:28:47.549389,0.35906642728904536,0.4166666666666652
10,2022-06-13 14:38:13.747567,0.4393673110720586,0.0
11,2022-06-14 07:00:04.567436,0.39525691699604515,0.0
12,2022-06-14 07:00:04.781329,0.5940594059405946,0.0
13,2022-06-27 07:02:39.646077,0.43572984749455923,0.4319654427645814
14,2022-07-04 07:00:00.416931,0.6607929515418443,0.22522522522523403
15,2022-07-06 14:54:34.740985,0.44943820224718767,-0.23923444976077235
16,2022-07-13 12:14:54.347992,0.4484304932735439,"Series([], dtype: float64)"
17,2022-07-13 12:34:37.302191,0.6741573033707926,0.0
18,2022-07-13 14:04:06.219418,0.4484304932735439,"Series([], dtype: float64)"
19,2022-07-14 14:33:20.946636,0.44943820224718767,0.23980815347721673
20,2022-08-05 07:00:00.152306,0.32679738562091387,0.19646365422396617
21,2022-08-08 07:59:55.357500,0.31847133757962887,0.0
22,2022-08-09 07:17:55.047569,0.3300330033003229,-0.1953125
23,2022-08-09 07:18:50.939383,0.32948929159801743,0.0
24,2022-08-16 12:42:24.368239,0.339558573853993,0.0
25,2022-08-17 07:51:09.290481,0.3072196620583778,-0.3490401396160525
26,2022-08-17 07:54:52.055375,0.30674846625766694,0.0
27,2022-08-18 11:05:28.457451,0.4366812227074135,-0.1686340640809414
