Date,Portfolio Value,BIST30 Value,Portfolio pct_change,BIST30 pct_change
2023-11-14,103068.39447149099,101810.85243919728,0.03068394471490965,0.018108524391972747
2023-11-15,101561.51352484457,101834.79424933842,-0.014620203937136367,0.00023515970613674497
2023-11-16,103306.16053192747,103766.62328303195,0.017178229690877123,0.018970225726224088
2023-11-17,105723.34687060877,104755.84891468717,0.023398278730281996,0.00953317743564841
2023-11-20,106478.10456861283,105854.69862485035,0.007138987937336028,0.010489626322040202
