timestamp,YKBNK.E_price_change,AKBNK.E_entry_price,..seconds_later,AKBNK.E_exit_price,return
2022-01-19_07:00:05.000000,0.773195876288657,7530,0.207419,7550,0.26560424966799445
2022-01-19_07:00:06.000000,0.5154639175257714,7530,0.244999,7510,-0.26560424966799445
2022-01-19_07:00:07.000000,0.5154639175257714,7530,0.244999,7510,-0.26560424966799445
2022-01-19_07:00:08.000000,0.5154639175257714,7520,0.077469,7540,0.26595744680850686
2022-01-19_07:00:10.000000,0.5154639175257714,7520,0.277129,7550,0.3989361702127603
2022-01-19_07:00:43.000000,0.512820512820511,7540,5.0,7540,0.0
2022-01-19_07:00:57.000000,0.512820512820511,7550,0.819329,7530,-0.26490066225165476
2022-01-19_07:05:01.000000,0.5154639175257714,7530,0.279218,7550,0.26560424966799445
2022-01-19_08:00:22.000000,0.5102040816326481,7550,5.0,7550,0.0
2022-01-19_09:10:43.000000,0.5050505050504972,7570,5.0,7570,0.0
2022-01-19_10:59:00.000000,0.5089058524172962,7490,5.0,7500,0.1335113484646211
2022-01-19_11:00:55.000000,0.5102040816326481,7470,0.778171,7490,0.2677376171352108
2022-01-19_11:07:04.000000,0.5102040816326481,7470,0.992491,7450,-0.2677376171352108
2022-01-20_07:59:59.000000,0.48309178743961567,7950,5.0,7950,0.0
2022-01-20_08:22:03.000000,0.4889975550122161,7900,0.763414,7880,-0.25316455696202667
2022-01-20_11:05:26.000000,0.48076923076922906,8000,5.0,8000,0.0
2022-01-20_11:46:56.000000,0.4975124378109541,7880,0.736199,7900,0.2538071065989911
2022-01-20_11:46:57.000000,0.746268656716409,7900,0.932619,7880,-0.25316455696202667
2022-01-20_11:46:58.000000,0.4987531172069737,7890,5.0,7900,0.12674271229404788
2022-01-20_11:47:01.000000,0.4975124378109541,7880,0.25606,7900,0.2538071065989911
2022-01-20_11:47:12.000000,0.4950495049504955,7900,5.0,7900,0.0
2022-01-20_11:50:02.000000,0.4975124378109541,7860,5.0,7860,0.0
2022-01-20_11:50:09.000000,0.4975124378109541,7860,5.0,7860,0.0
2022-01-20_11:50:49.000000,0.496277915632759,7870,5.0,7870,0.0
2022-01-20_11:52:23.000000,0.7518796992481258,7780,0.36478,7800,0.25706940874035134
2022-01-20_11:55:54.000000,0.5012531328320913,7750,0.728196,7770,0.2580645161290418
2022-01-20_11:55:56.000000,0.5012531328320913,7750,0.728196,7770,0.2580645161290418
2022-01-20_11:56:21.000000,0.5012531328320913,7770,0.428811,7750,-0.2574002574002532
2022-01-20_11:57:18.000000,0.49999999999998934,7760,5.0,7770,0.12886597938144284
2022-01-20_11:58:15.000000,0.49999999999998934,7760,5.0,7770,0.12886597938144284
2022-01-20_12:00:05.000000,0.5050505050504972,7690,0.380709,7670,-0.2600780234070177
2022-01-20_12:00:14.000000,0.5037783375314797,7660,0.367022,7680,0.26109660574411553
2022-01-20_12:00:16.000000,0.5012531328320913,7700,0.429956,7720,0.2597402597402487
2022-01-20_12:00:17.000000,0.7518796992481258,7730,0.988462,7710,-0.2587322121604174
2022-01-20_12:00:18.000000,0.5037783375314797,7680,0.591422,7660,-0.26041666666666297
2022-01-20_12:00:20.000000,0.5050505050504972,7670,0.524381,7690,0.26075619295957697
2022-01-20_12:01:32.000000,0.5012531328320913,7730,5.0,7730,0.0
