timestamp,YKBNK.E_price_change,ISCTR.E_entry_price,..seconds_later,ISCTR.E_exit_price,return
2022-01-19_07:00:07.000000,0.5154639175257714,7980,0.242553,7950,-0.3759398496240629
2022-01-19_07:00:08.000000,0.5154639175257714,7970,0.028603,7950,-0.25094102885822034
2022-01-19_07:00:10.000000,0.5154639175257714,7940,0.016686,7970,0.37783375314861534
2022-01-19_07:00:43.000000,0.512820512820511,7990,5,7990,0.0
2022-01-19_07:00:57.000000,0.512820512820511,7980,0.117223,8000,0.25062656641603454
2022-01-19_07:05:01.000000,0.5154639175257714,7950,0.571032,7930,-0.2515723270440251
2022-01-19_08:00:22.000000,0.5102040816326481,7940,5,7940,0.0
2022-01-19_09:10:43.000000,0.5050505050504972,8020,5,8020,0.0
2022-01-19_10:59:00.000000,0.5089058524172962,7950,5,7960,0.12578616352201255
2022-01-19_11:00:55.000000,0.5102040816326481,7940,0.705287,7960,0.25188916876575096
2022-01-19_11:07:04.000000,0.5102040816326481,7920,5,7910,-0.12626262626262985
2022-01-20_07:59:59.000000,0.48309178743961567,8470,5,8470,0.0
2022-01-20_08:22:03.000000,0.4889975550122161,8410,5,8410,0.0
2022-01-20_11:05:26.000000,0.48076923076922906,8490,5,8490,0.0
2022-01-20_11:46:56.000000,0.4975124378109541,8280,5,8280,0.0
2022-01-20_11:46:57.000000,0.746268656716409,8280,0.736395,8300,0.24154589371980784
2022-01-20_11:46:58.000000,0.4987531172069737,8280,0.736395,8300,0.24154589371980784
2022-01-20_11:47:01.000000,0.4975124378109541,8280,0.736395,8300,0.24154589371980784
2022-01-20_11:47:12.000000,0.4950495049504955,8290,0.470223,8310,0.24125452352230514
2022-01-20_11:50:02.000000,0.4975124378109541,8250,5,8260,0.12121212121212199
2022-01-20_11:50:09.000000,0.4975124378109541,8260,5,8260,0.0
2022-01-20_11:50:49.000000,0.496277915632759,8250,5,8260,0.12121212121212199
2022-01-20_11:52:23.000000,0.7518796992481258,8180,0.39295,8200,0.24449877750611915
2022-01-20_11:55:54.000000,0.5012531328320913,8170,0.731994,8190,0.244798041615657
2022-01-20_11:55:56.000000,0.5012531328320913,8160,0.727681,8180,0.2450980392156854
2022-01-20_11:56:21.000000,0.5012531328320913,8190,0.494132,8170,-0.24420024420024333
2022-01-20_11:57:18.000000,0.49999999999998934,8190,5,8190,0.0
2022-01-20_11:58:15.000000,0.49999999999998934,8190,5,8190,0.0
2022-01-20_12:00:05.000000,0.5050505050504972,8090,0.824205,8070,-0.24721878862793423
2022-01-20_12:00:14.000000,0.5037783375314797,8060,0.252684,8080,0.2481389578163684
2022-01-20_12:00:16.000000,0.5012531328320913,8100,0.43134,8120,0.24691358024691024
2022-01-20_12:00:17.000000,0.7518796992481258,8140,0.550479,8120,-0.24570024570024218
2022-01-20_12:00:18.000000,0.5037783375314797,8080,0.589572,8060,-0.24752475247524774
2022-01-20_12:00:20.000000,0.5050505050504972,8070,0.251118,8090,0.24783147459728205
2022-01-20_12:01:32.000000,0.5012531328320913,8140,5,8130,-0.12285012285012664
2022-01-20_12:18:20.000000,0.4901960784313708,8270,5,8270,0.0
2022-01-20_14:02:21.000000,0.49261083743843415,8300,0.403072,8280,-0.24096385542168308
2022-01-20_14:16:03.000000,0.5025125628140614,8110,0.311546,8130,0.2466091245376001
2022-01-20_14:28:42.000000,0.5025125628140614,8150,0.875624,8130,-0.24539877300613355
2022-01-20_14:28:51.000000,0.5050505050504972,8110,0.831575,8090,-0.2466091245376112
2022-01-20_14:29:00.000000,0.7575757575757569,8080,0.488023,8100,0.24752475247524774
2022-01-20_14:29:58.000000,0.5063291139240533,8070,5,8060,-0.12391573729864103
2022-01-20_14:30:06.000000,0.50761421319796,8060,0.228346,8040,-0.2481389578163795
2022-01-20_14:30:12.000000,0.5050505050504972,8070,0.330518,8090,0.24783147459728205
2022-01-20_14:30:35.000000,0.50761421319796,8060,0.866711,8080,0.2481389578163684
2022-01-20_14:31:35.000000,0.50761421319796,8090,0.642269,8110,0.24721878862794533
2022-01-20_14:31:42.000000,0.5063291139240533,8110,5,8110,0.0
2022-01-20_14:31:47.000000,0.5063291139240533,8110,5,8100,-0.12330456226880004
2022-01-20_14:44:32.000000,0.5025125628140614,8130,5,8130,0.0
2022-01-20_14:58:58.000000,0.4975124378109541,8230,5,8230,0.0
2022-01-21_07:00:05.000000,0.5025125628140614,8120,0.313574,8140,0.24630541871921707
2022-01-24_07:18:19.000000,0.49382716049382047,8280,0.498095,8260,-0.24154589371980784
2022-01-24_07:18:41.000000,0.496277915632759,8240,5,8240,0.0
2022-01-24_08:29:29.000000,0.4889975550122161,8330,5,8330,0.0
2022-01-24_10:42:42.000000,0.5050505050504972,8180,5,8170,-0.12224938875305957
2022-01-24_10:46:01.000000,0.5089058524172962,8110,5,8110,0.0
2022-01-24_10:48:51.000000,0.5102040816326481,8100,5,8110,0.12345679012346622
2022-01-24_11:00:53.000000,0.5089058524172962,8020,5,8020,0.0
2022-01-24_11:14:59.000000,0.5050505050504972,8080,0.853451,8060,-0.24752475247524774
2022-01-24_12:42:02.000000,0.512820512820511,8000,0.232519,7980,-0.24999999999999467
2022-01-24_12:50:45.000000,0.5154639175257714,7970,5,7970,0.0
2022-01-24_13:10:03.000000,0.5154639175257714,7960,5,7970,0.12562814070351536
2022-01-24_13:12:40.000000,0.5154639175257714,7960,5,7960,0.0
2022-01-24_13:17:37.000000,0.512820512820511,7980,5,7990,0.12531328320801727
2022-01-24_13:18:30.000000,0.512820512820511,7980,5,7980,0.0
2022-01-24_13:18:31.000000,0.512820512820511,7980,5,7980,0.0
2022-01-24_13:18:32.000000,0.512820512820511,7980,5,7980,0.0
2022-01-24_13:18:33.000000,0.512820512820511,7980,5,7980,0.0
2022-01-24_13:18:35.000000,0.512820512820511,7980,5,7980,0.0
2022-01-24_13:18:44.000000,0.512820512820511,7980,5,7970,-0.12531328320801727
2022-01-24_13:28:09.000000,0.5154639175257714,7980,5,7980,0.0
2022-01-24_13:31:13.000000,0.5141388174807249,7970,5,7970,0.0
2022-01-24_13:43:08.000000,0.5167958656330685,7920,5,7920,0.0
2022-01-24_13:44:56.000000,0.5141388174807249,7960,5,7970,0.12562814070351536
2022-01-24_13:55:11.000000,0.5115089514066584,7990,5,7990,0.0
2022-01-24_14:25:57.000000,0.5141388174807249,7990,0.46526,7970,-0.25031289111389077
2022-01-24_14:46:47.000000,0.5208333333333259,7890,0.769944,7870,-0.25348542458808465
2022-01-25_07:00:05.000000,0.5141388174807249,7960,0.029661,7940,-0.2512562814070307
2022-01-25_07:08:31.000000,0.5208333333333259,7900,5,7900,0.0
2022-01-25_07:10:11.000000,0.5154639175257714,7930,5,7940,0.12610340479193294
2022-01-25_07:12:25.000000,0.5141388174807249,7950,5,7950,0.0
2022-01-25_07:29:52.000000,0.5154639175257714,7910,5,7900,-0.12642225031606058
2022-01-25_08:10:47.000000,0.512820512820511,7910,5,7920,0.12642225031604948
2022-01-26_07:00:01.000000,0.5050505050504972,8120,0.204018,8140,0.24630541871921707
2022-01-26_09:54:35.000000,0.5037783375314797,8110,5,8110,0.0
2022-01-27_07:00:00.000000,0.5194805194805197,8080,0.133976,7900,-2.2277227722772297
