timestamp,YKBNK.E_price_change,AKBNK.E_entry_price,..seconds_later,AKBNK.E_exit_price,return
2022-01-19_07:05:01.000000,0.5154639175257714,7530,1,7550,0.26560424966799445
2022-01-19_08:00:22.000000,0.5102040816326481,7550,1,7550,0.0
2022-01-19_09:10:43.000000,0.5050505050504972,7570,1,7570,0.0
2022-01-19_10:59:00.000000,0.5089058524172962,7490,1,7490,0.0
2022-01-19_11:00:55.000000,0.5102040816326481,7470,1,7480,0.1338688085676054
2022-01-19_11:07:04.000000,0.5102040816326481,7470,1,7470,0.0
2022-01-20_11:46:57.000000,0.746268656716409,7900,1,7890,-0.12658227848101333
2022-01-20_11:52:23.000000,0.7518796992481258,7780,0.392406,7810,0.3856041131105492
2022-01-20_11:55:54.000000,0.5012531328320913,7750,1,7750,0.0
2022-01-20_11:55:56.000000,0.5012531328320913,7750,0.733153,7780,0.3870967741935516
2022-01-20_11:56:21.000000,0.5012531328320913,7770,1,7760,-0.12870012870013214
2022-01-20_12:00:05.000000,0.5050505050504972,7690,1,7680,-0.13003901170350884
2022-01-20_12:00:14.000000,0.5037783375314797,7660,0.378321,7690,0.3916449086161844
2022-01-20_12:00:16.000000,0.5012531328320913,7700,0.822132,7730,0.3896103896103842
2022-01-20_12:00:17.000000,0.7518796992481258,7730,0.988886,7700,-0.38809831824062613
2022-01-20_12:00:18.000000,0.5037783375314797,7680,1,7680,0.0
2022-01-20_12:00:20.000000,0.5050505050504972,7670,0.712902,7700,0.39113428943937656
2022-01-20_12:01:32.000000,0.5012531328320913,7730,1,7740,0.1293661060802087
2022-01-20_14:16:03.000000,0.5025125628140614,7750,1,7760,0.1290322580645098
2022-01-20_14:28:42.000000,0.5025125628140614,7760,1,7750,-0.12886597938144284
2022-01-20_14:28:51.000000,0.5050505050504972,7730,1,7730,0.0
2022-01-20_14:29:00.000000,0.7575757575757569,7720,1,7740,0.2590673575129543
2022-01-20_14:29:58.000000,0.5063291139240533,7690,1,7700,0.13003901170351995
2022-01-20_14:30:06.000000,0.50761421319796,7690,1,7690,0.0
2022-01-20_14:30:12.000000,0.5050505050504972,7690,0.332349,7720,0.39011703511053764
2022-01-20_14:30:35.000000,0.50761421319796,7700,1,7720,0.2597402597402487
2022-01-20_14:31:35.000000,0.50761421319796,7720,1,7720,0.0
2022-01-20_14:31:42.000000,0.5063291139240533,7720,1,7720,0.0
2022-01-20_14:31:47.000000,0.5063291139240533,7720,1,7720,0.0
2022-01-20_14:44:32.000000,0.5025125628140614,7760,1,7760,0.0
2022-01-21_07:00:05.000000,0.5025125628140614,7800,1,7780,-0.2564102564102555
2022-01-24_10:42:42.000000,0.5050505050504972,7830,1,7820,-0.12771392081737387
2022-01-24_10:46:01.000000,0.5089058524172962,7750,1,7750,0.0
2022-01-24_10:48:51.000000,0.5102040816326481,7760,1,7770,0.12886597938144284
2022-01-24_11:00:53.000000,0.5089058524172962,7720,1,7720,0.0
2022-01-24_11:14:59.000000,0.5050505050504972,7780,1,7770,-0.12853470437017567
2022-01-24_12:42:02.000000,0.512820512820511,7690,1,7690,0.0
2022-01-24_12:50:45.000000,0.5154639175257714,7650,1,7650,0.0
2022-01-24_13:10:03.000000,0.5154639175257714,7640,1,7640,0.0
2022-01-24_13:12:40.000000,0.5154639175257714,7630,1,7640,0.1310615989515096
2022-01-24_13:17:37.000000,0.512820512820511,7660,1,7660,0.0
2022-01-24_13:18:30.000000,0.512820512820511,7670,1,7670,0.0
2022-01-24_13:18:31.000000,0.512820512820511,7670,1,7670,0.0
2022-01-24_13:18:32.000000,0.512820512820511,7670,1,7670,0.0
2022-01-24_13:18:33.000000,0.512820512820511,7670,1,7670,0.0
2022-01-24_13:18:35.000000,0.512820512820511,7670,1,7670,0.0
2022-01-24_13:18:44.000000,0.512820512820511,7670,1,7670,0.0
2022-01-24_13:28:09.000000,0.5154639175257714,7690,1,7690,0.0
2022-01-24_13:31:13.000000,0.5141388174807249,7690,1,7690,0.0
2022-01-24_13:43:08.000000,0.5167958656330685,7640,1,7640,0.0
2022-01-24_13:44:56.000000,0.5141388174807249,7660,1,7660,0.0
2022-01-24_13:55:11.000000,0.5115089514066584,7700,1,7700,0.0
2022-01-24_14:25:57.000000,0.5141388174807249,7670,1,7670,0.0
2022-01-24_14:46:47.000000,0.5208333333333259,7580,1,7590,0.13192612137202797
2022-01-25_07:00:05.000000,0.5141388174807249,7660,1,7660,0.0
2022-01-25_07:08:31.000000,0.5208333333333259,7590,1,7590,0.0
2022-01-25_07:10:11.000000,0.5154639175257714,7620,1,7620,0.0
2022-01-25_07:12:25.000000,0.5141388174807249,7650,1,7650,0.0
2022-01-25_07:29:52.000000,0.5154639175257714,7630,1,7630,0.0
2022-01-25_08:10:47.000000,0.512820512820511,7650,1,7650,0.0
2022-01-26_07:00:01.000000,0.5050505050504972,7730,1,7740,0.1293661060802087
2022-01-26_09:54:35.000000,0.5037783375314797,7760,1,7760,0.0
2022-01-27_07:00:00.000000,0.5194805194805197,7720,0.082072,7590,-1.6839378238341918
2022-01-27_07:00:01.000000,0.5194805194805197,7580,1,7590,0.13192612137202797
2022-01-27_09:57:05.000000,0.50761421319796,7670,1,7670,0.0
2022-01-28_14:53:32.000000,0.5012531328320913,7750,1,7750,0.0
2022-02-07_07:07:25.000000,0.5025125628140614,7710,1,7710,0.0
2022-02-07_07:26:06.000000,0.5063291139240533,7720,1,7720,0.0
2022-02-07_11:02:15.000000,0.50761421319796,7580,1,7580,0.0
2022-02-07_13:10:01.000000,0.5012531328320913,7680,1,7680,0.0
2022-02-07_13:34:35.000000,0.5037783375314797,7680,1,7680,0.0
2022-02-14_07:00:00.000000,0.7518796992481258,8090,0.076814,7970,-1.4833127317676165
2022-02-14_07:00:03.000000,0.5012531328320913,7970,1,7970,0.0
2022-02-14_07:00:04.000000,0.5012531328320913,7970,1,7970,0.0
2022-02-22_07:00:00.000000,0.5037783375314797,7910,0.078332,7770,-1.7699115044247815
2022-02-22_07:00:18.000000,0.5037783375314797,7740,1,7740,0.0
2022-02-22_14:58:55.000000,0.5025125628140614,7860,1,7860,0.0
2022-02-23_13:14:12.000000,0.5089058524172962,7780,1,7780,0.0
2022-02-24_07:30:00.000000,0.8426966292134797,7050,0.142493,7080,0.42553191489360653
2022-02-24_07:32:26.000000,0.5494505494505475,7190,1,7190,0.0
2022-02-24_07:33:18.000000,0.5420054200542035,7280,1,7270,-0.13736263736263687
2022-02-24_07:33:19.000000,0.5420054200542035,7270,1,7270,0.0
2022-02-24_07:33:37.000000,0.5434782608695565,7290,1,7290,0.0
2022-02-24_07:33:57.000000,0.8196721311475308,7320,1,7320,0.0
2022-02-24_07:34:31.000000,0.8287292817679592,7220,1,7210,-0.13850415512465242
2022-02-24_07:37:24.000000,1.3513513513513598,7320,0.988547,7290,-0.4098360655737654
2022-02-24_07:38:37.000000,0.5434782608695565,7240,1,7220,-0.2762430939226568
2022-02-24_07:41:03.000000,0.8219178082191858,7240,1,7220,-0.2762430939226568
2022-02-24_07:50:42.000000,0.5434782608695565,7250,1,7240,-0.13793103448276334
2022-02-24_08:27:06.000000,0.5420054200542035,7240,1,7240,0.0
2022-02-24_08:29:07.000000,0.5449591280654031,7230,1,7230,0.0
2022-02-24_08:52:23.000000,0.5509641873278293,7140,1,7140,0.0
2022-02-24_10:15:31.000000,0.56657223796035,7010,1,7010,0.0
2022-02-24_10:22:02.000000,0.5649717514124353,7010,1,7010,0.0
2022-02-24_10:28:21.000000,0.5649717514124353,7000,1,7000,0.0
2022-02-25_07:00:00.000000,1.1235955056179803,6990,0.073013,7150,2.2889842632331847
2022-02-25_07:00:01.000000,0.8403361344537785,7150,0.73399,7120,-0.41958041958042314
2022-02-25_07:00:02.000000,0.8379888268156499,7120,0.818038,7090,-0.4213483146067398
2022-02-25_07:00:05.000000,0.5586592178770999,7090,1,7090,0.0
2022-02-25_07:00:10.000000,0.5586592178770999,7080,0.23021,7050,-0.4237288135593209
2022-02-25_07:00:27.000000,0.5586592178770999,7060,1,7060,0.0
2022-02-25_07:16:25.000000,0.561797752808979,7040,1,7040,0.0
2022-02-25_11:36:45.000000,0.5479452054794498,7140,1,7140,0.0
2022-02-25_11:47:26.000000,0.5524861878453136,7140,1,7130,-0.1400560224089631
