timestamp,AKBNK.E_price_change,YKBNK.E_entry_price,..seconds_later,YKBNK.E_exit_price,return
2022-02-24_07:30:00.000000,1.5714285714285792,3560,0.145211,3570,0.2808988764045006
2022-02-24_07:30:04.000000,0.42253521126760507,3600,0.107297,3590,-0.2777777777777768
2022-02-24_07:30:05.000000,0.42253521126760507,3590,0.313544,3600,0.278551532033422
2022-02-24_07:32:55.000000,0.5555555555555536,3690,0.303807,3680,-0.27100271002710175
2022-02-24_07:33:00.000000,1.2587412587412583,3690,0.458712,3680,-0.27100271002710175
2022-02-24_07:33:10.000000,0.696378830083555,3690,0.901398,3700,0.27100271002709064
2022-02-24_07:33:11.000000,1.118881118881121,3690,0.029221,3680,-0.27100271002710175
2022-02-24_07:33:21.000000,0.5502063273727709,3690,0.361208,3700,0.27100271002709064
2022-02-24_07:33:32.000000,0.8219178082191858,3700,0.882542,3710,0.2702702702702675
2022-02-24_07:33:40.000000,0.6868131868131844,3670,0.485491,3660,-0.27247956403270157
2022-02-24_07:33:47.000000,0.4098360655737654,3670,0.324462,3660,-0.27247956403270157
2022-02-24_07:34:01.000000,0.4120879120879106,3680,0.154132,3690,0.27173913043478937
2022-02-24_07:34:35.000000,0.4160887656033285,3640,5.0,3640,0.0
2022-02-24_07:34:44.000000,0.4149377593360981,3640,0.077246,3650,0.27472527472527375
2022-02-24_07:35:08.000000,0.6915629322268302,3660,0.713362,3650,-0.2732240437158473
2022-02-24_07:36:18.000000,0.4160887656033285,3660,0.010093,3650,-0.2732240437158473
2022-02-24_07:37:18.000000,0.4115226337448652,3730,0.562121,3740,0.2680965147453085
2022-02-24_07:37:24.000000,0.4115226337448652,3740,0.875199,3750,0.2673796791443861
2022-02-24_10:05:56.000000,0.42735042735042583,3590,5.0,3590,0.0
2022-02-25_07:00:00.000000,0.9859154929577452,3530,0.295394,3600,1.9830028328611915
2022-02-25_07:00:02.000000,0.5641748942172065,3590,0.054147,3580,-0.278551532033422
2022-02-25_07:00:03.000000,0.4237288135593209,3600,0.39216,3590,-0.2777777777777768
2022-02-25_07:00:07.000000,0.42553191489360653,3600,0.677326,3590,-0.2777777777777768
2022-02-25_07:00:08.000000,0.42553191489360653,3600,0.677326,3590,-0.2777777777777768
2022-02-25_07:00:10.000000,0.42553191489360653,3590,0.271142,3600,0.278551532033422
2022-02-25_07:00:18.000000,0.7092198581560183,3590,5.0,3590,0.0
2022-02-25_07:00:33.000000,0.4249291784702569,3590,5.0,3590,0.0
2022-02-25_07:00:40.000000,0.4243281471004279,3600,0.395572,3590,-0.2777777777777768
2022-02-25_13:09:45.000000,0.4166666666666652,3710,5.0,3710,0.0
2022-02-28_07:00:00.000000,0.5747126436781658,3680,0.250736,3570,-2.9891304347826053
2022-02-28_07:00:02.000000,0.43041606886657924,3580,0.028981,3570,-0.27932960893854997
2022-02-28_07:00:04.000000,0.43041606886657924,3590,0.048669,3580,-0.278551532033422
2022-03-01_09:23:30.000000,0.41551246537396835,3760,5.0,3760,0.0
2022-03-01_12:17:06.000000,0.4285714285714226,3610,0.994356,3620,0.27700831024930483
2022-03-01_12:17:26.000000,0.4285714285714226,3620,5.0,3620,0.0
2022-03-01_12:17:28.000000,0.4285714285714226,3620,5.0,3620,0.0
2022-03-01_12:17:34.000000,0.4285714285714226,3620,5.0,3620,0.0
2022-03-02_07:02:15.000000,0.42553191489360653,3620,0.174165,3630,0.2762430939226457
2022-03-10_07:00:04.000000,0.4166666666666652,3760,0.754087,3770,0.26595744680850686
2022-03-29_07:00:00.000000,0.4143646408839796,3890,0.501716,3900,0.25706940874035134
2022-03-30_13:35:26.000000,0.4126547455295837,4110,5.0,4110,0.0
2022-04-05_07:00:00.000000,0.3875968992248069,4210,0.333127,4230,0.47505938242280443
2022-04-08_13:03:12.000000,0.48484848484848797,4530,5.0,4530,0.0
2022-04-11_07:00:00.000000,0.5780346820809301,4650,0.231972,4770,2.580645161290329
2022-04-11_07:00:01.000000,0.3456221198156584,4770,0.012214,4780,0.20964360587001352
2022-04-11_07:00:02.000000,0.5767012687427853,4790,0.076416,4800,0.20876826722338038
2022-04-11_07:00:03.000000,0.5767012687427853,4790,0.007145,4800,0.20876826722338038
2022-04-11_07:00:04.000000,0.3456221198156584,4780,0.072355,4770,-0.20920502092049986
2022-04-11_07:00:05.000000,0.3456221198156584,4790,0.209659,4780,-0.20876826722338038
2022-04-11_07:00:10.000000,0.3456221198156584,4800,0.149786,4790,-0.2083333333333326
2022-04-11_07:00:13.000000,0.3456221198156584,4790,0.43393,4800,0.20876826722338038
2022-04-11_07:00:14.000000,0.3456221198156584,4790,0.440925,4800,0.20876826722338038
2022-04-11_07:00:28.000000,0.3456221198156584,4800,0.721245,4790,-0.2083333333333326
2022-04-11_07:01:15.000000,0.3416856492027387,4830,0.48133,4840,0.20703933747412417
2022-04-11_07:01:16.000000,0.7972665148063829,4870,0.00131,4880,0.2053388090349051
2022-04-11_07:01:17.000000,0.4555808656036442,4950,0.110404,4940,-0.20202020202020332
2022-04-11_07:01:49.000000,0.3409090909090917,4940,0.376527,4950,0.2024291497975783
2022-04-11_07:02:19.000000,0.45300113250283935,4940,0.087952,4950,0.2024291497975783
2022-04-11_07:05:08.000000,0.34129692832765013,4900,0.390191,4890,-0.20408163265306367
2022-04-11_11:37:55.000000,0.6825938566553003,4990,0.632042,4980,-0.2004008016032066
