Asset,Skew,Compound Return,Total Volume
KONTR,0.5043118725340823,239.05092105762438,987389058.0
SMRTG,0.34106005887328283,230.2647083940029,2206095570.0
GESAN,11.40463499937466,192.2968241014245,2410752245.0
MGROS,0.4690391092873956,188.85194113902548,530004754.0
GUBRF,0.522438262289864,155.13100528518856,1001928902.0
OYAKC,0.7192160552738025,152.33083377449694,4975825078.0
PGSUS,0.9630271033274348,141.94985392365945,569089603.0
TOASO,0.8915522333002858,141.22206466359142,1569322879.0
HEKTS,1.2246174004642205,133.74118514194575,7695878121.0
THYAO,1.2589401007961185,131.9112584217915,11963132104.0
KOZAL,0.6241192057478051,129.83872620124663,27124665944.0
HALKB,0.4829299947003907,117.9732232687416,24584649041.0
ENJSA,0.8731643534295647,110.71843088488222,3904917682.0
ISCTR,0.4310262381717825,104.66628192428607,53555352276.0
KCHOL,0.42519410238396166,103.3239016495545,4972349139.0
VAKBN,0.6871038803138427,103.30970077284789,27034271517.0
CIMSA,0.8956457636006548,99.91986520291154,535509614.0
SOKM,0.6603163858560578,98.93899543018578,1705809856.0
SASA,0.35981471961964684,98.80479459177025,7673248481.0
DOHOL,0.9682046520376,97.96894984138834,27032993743.0
YKBNK,0.22146425310242443,97.34457836443906,60520822256.0
EGEEN,0.8913611140528761,94.28582775885745,11357284.0
EKGYO,0.5159936941256558,93.34154040732365,83655684682.0
AKBNK,0.4671066345350954,83.35885336708664,42744584446.0
TCELL,0.4171298998867564,81.33781147462582,10195793815.0
GARAN,0.4695253074570812,80.89054435374634,15140260766.0
ASELS,0.864443640480257,80.23185646766183,31811493526.0
FROTO,0.9917432978678006,76.9885522842161,453568695.0
TUPRS,1.0003142500596518,76.27903290214711,8104476136.0
DOAS,0.7286367675383537,75.07163461016543,385395540.0
SAHOL,0.8988841416632758,74.1060658201223,9646834976.0
AEFES,0.36660531393137497,66.39785047295025,693956218.0
SISE,0.8101314307385667,61.577599898960415,15202129926.0
BIMAS,0.38989354330326276,56.769398059379064,1467279536.0
KRDMD,1.0925367271725988,55.038805106345045,37223282036.0
ALARK,0.8322131480780924,50.15436860451135,1748967215.0
VESTL,0.9685784073819409,49.856948847854746,2847924826.0
TTKOM,0.6054469468238912,49.247309997572785,14678692854.0
ARCLK,1.0157046988374483,38.292723233596874,1203973464.0
PETKM,0.8749939819153638,37.86096061417021,30007933767.0
KOZAA,0.833701416826316,28.90520731657924,4983136394.0
ENKAI,0.819633800889716,25.65898929133772,8097209832.0
TSKB,0.3567979366953352,22.153847034160922,29002758467.0
ODAS,0.4903615174695634,20.04773606483252,22508626272.0
EREGL,1.1837010506243049,14.908578380793958,22150710569.0
TAVHL,1.0125604517908449,13.580246913580417,1279213870.0
TKFEN,0.4603724290193764,9.516471248570246,3046145838.0
AKSA,1.1213079475967385,2.3560635920996997,608092760.0
AKSEN,0.8510512406782013,-2.89013020609884,2278008988.0
