timestamp,SAHOL.E_price_change,KCHOL.E_price_change,interval
2023-02-07_14:36:12.466076,0.32449972958354945,0,0
2023-02-08_07:00:02.050907,0.37614185921548415,-0.4376367614879584,0.169812
2023-02-08_07:07:04.538099,0.4390779363337094,-0.07407407407407085,0.23394
2023-02-08_07:07:08.288266,0.4390779363337094,0,0
2023-02-08_07:07:37.501371,0.4972375690607711,0.0,0.000773
2023-02-08_07:07:40.484900,0.44223327805417156,0.0,0.150034
2023-02-08_07:07:48.687314,0.33185840707965486,0,0
2023-02-08_07:42:06.198131,1.0140845070422566,0.0,0.2125
2023-02-15_07:00:00.438646,0.4077471967380175,-0.611828687967364,0.007441
2023-02-15_07:00:01.923970,0.40506329113925155,0.06765899864682456,0.170789
2023-02-15_07:00:04.336871,0.302571860816947,0,0
2023-02-15_07:00:06.524708,0.6575619625695417,0.3382949932341006,0.173244
2023-02-15_07:00:07.520637,0.5558362809499728,0.0,0.078374
2023-02-15_07:00:09.654887,0.40404040404040664,0.13540961408260443,0.272178
2023-02-15_07:00:25.901405,0.6598984771573502,-0.8867667121418732,0.003503
2023-02-15_07:02:04.205208,0.45801526717557106,0,0
2023-02-15_07:03:15.715625,0.3039513677811634,0.0,0.211885
2023-02-15_07:06:08.274200,0.7095793208312218,0,0
2023-02-15_07:06:15.173736,0.3030303030302939,0.0,0.143219
2023-02-15_07:06:22.104204,0.9615384615384581,0,0
2023-02-15_07:06:27.902290,0.5037783375314797,0.0,0.001414
2023-02-15_07:07:59.732193,0.6048387096774244,0.06784260515604323,0.120474
2023-02-15_07:08:11.944674,0.6542526421741357,0,0
2023-02-15_07:08:31.984392,0.5530417295123158,0,0
2023-02-15_07:10:15.003421,0.3012048192771122,0.0,0.108623
2023-02-16_07:00:06.114150,0.32065964269354374,0.867410161090465,0.085161
2023-02-16_07:00:37.302243,0.41455550437585753,-0.12345679012346622,0.018505
2023-02-16_07:00:37.303821,0.4587155963302836,-0.12345679012346622,0.016927
2023-02-16_07:01:00.970439,0.32036613272310444,0,0
2023-02-16_07:05:42.638019,0.3743565746373356,0,0
