timestamp,ISCTR.E_price_change,AKBNK.E_price_change,interval
2022-01-18_14:26:05.301930,0.37406483790523026,-0.6631299734747964,0.000507
2022-01-19_07:21:26.055659,0.37783375314861534,0.0,0.882024
2022-01-20_12:02:14.462533,0.36809815950920033,0.1290322580645098,0.090488
2022-02-24_07:33:43.866761,0.3802281368821214,0.547195622435015,0.775609
2022-02-24_07:37:57.783417,0.37974683544304,0.13812154696133394,0.660098
2022-02-28_07:02:44.038319,0.3712871287128605,0.0,0.065386
2022-04-11_11:31:53.055926,0.665399239543718,-0.1129943502824915,0.003712
2022-04-13_14:59:56.149779,0.38058991436726863,0.0,0.077274
2022-04-22_13:56:08.467915,0.37037037037037646,0.0,0.001862
2022-06-10_07:28:47.549389,0.35906642728904536,0.23148148148148806,0.483196
2022-06-13_14:38:13.747567,0.4393673110720586,0.0,0.0
2022-06-14_07:00:04.567436,0.39525691699604515,-0.23391812865496409,0.123561
2022-06-14_07:00:04.781329,0.5940594059405946,-0.23391812865496409,0.314933
2022-06-27_07:02:39.646077,0.43572984749455923,0.23446658851113966,0.327623
2022-07-04_07:00:00.416931,0.6607929515418443,-0.4872107186357999,0.219928
2022-07-06_14:54:34.740985,0.44943820224718767,0.12722646310432406,0.690926
2022-07-13_12:14:54.347992,0.4484304932735439,0.0,0.0
2022-07-13_12:34:37.302191,0.6741573033707926,-0.12578616352201255,0.002397
2022-07-13_14:04:06.219418,0.4484304932735439,0.0,0.001074
2022-07-14_14:33:20.946636,0.44943820224718767,0.0,0.008897
2022-08-05_07:00:00.152306,0.32679738562091387,-0.3293084522502765,0.107933
2022-08-08_07:59:55.357500,0.31847133757962887,-0.10822510822510178,0.43928
2022-08-09_07:17:55.047569,0.3300330033003229,0.0,0.0
2022-08-09_07:18:50.939383,0.32948929159801743,0.0,0.087699
2022-08-16_12:42:24.368239,0.339558573853993,-0.10010010010010895,0.417898
2022-08-17_07:51:09.290481,0.3072196620583778,-0.1853568118628468,0.124582
2022-08-17_07:54:52.055375,0.30674846625766694,0.0,0.000659
2022-08-18_11:05:28.457451,0.4366812227074135,0.08976660682227244,0.953501
2022-08-18_11:25:06.173468,0.45180722891566827,0.18348623853210455,0.626757
2022-08-18_11:25:40.391749,0.3016591251885359,-0.18399264029438367,0.444197
2022-08-18_11:25:58.055271,0.45180722891566827,-0.18399264029438367,0.238461
2022-08-18_11:26:13.054111,0.3016591251885359,0.18399264029438367,0.414142
2022-08-18_11:29:30.059332,0.3016591251885359,-0.09165902841430373,0.157853
2022-08-22_14:23:16.200448,0.40816326530612734,0.0,0.0
2022-08-23_07:06:49.641307,0.5277044854881341,0.09250693802034249,0.669088
2022-08-24_07:00:02.121414,0.4716981132075526,0.43365134431916363,0.64766
2022-08-24_07:01:08.041293,0.3512880562060783,0.17301038062282892,0.779873
2022-08-24_07:07:53.422613,0.35460992907800915,-0.08673026886383273,0.194793
2022-08-24_07:08:42.243922,0.35211267605634866,0.08635578583764403,0.627724
2022-08-24_07:43:14.568664,0.356718192627814,0.08764241893075564,0.619482
2022-08-24_07:43:14.572177,0.3562945368170922,0.08764241893075564,0.615969
2022-08-24_12:07:01.039177,0.5102040816326481,0.35874439461882623,0.388949
2022-08-24_12:07:01.040976,0.5108556832694733,0.35874439461882623,0.38715
2022-08-24_12:07:01.054061,0.5095541401273884,0.35874439461882623,0.374065
2022-08-26_13:37:08.462847,0.37688442211054607,0.0,0.072104
2022-08-26_14:53:22.042170,0.37878787878788955,0.24271844660195274,0.384143
2022-08-26_14:54:07.695011,0.37783375314861534,-0.24330900243310083,0.504915
2022-08-29_07:04:43.584358,0.38510911424902705,-0.24793388429751317,0.46728
2022-08-29_07:05:39.428548,0.38860103626943143,-0.2491694352159568,0.076391
2022-09-01_10:15:44.629023,0.3745318352059934,0.0,0.993289
2022-09-01_14:59:53.800064,0.3731343283582156,-0.2533783783783772,0.178556
2022-09-01_14:59:53.800200,0.3717472118959009,-0.2533783783783772,0.17842
2022-09-02_09:20:00.772459,0.3658536585365857,0.07855459544383603,0.956348
2022-09-05_07:07:38.588188,0.44150110375276164,-0.29673590504450953,0.018786
2022-09-05_07:07:38.606662,0.330760749724357,-0.29673590504450953,0.000312
2022-09-05_12:25:04.071756,0.31678986272438703,0.14388489208632116,0.835924
2022-09-05_12:25:04.073965,0.31678986272438703,0.14388489208632116,0.833715
2022-09-06_07:12:42.215054,0.30090270812437314,0.1370801919122755,0.009724
2022-09-06_08:20:42.876571,0.3092783505154628,0.2735978112175186,0.552829
2022-09-06_08:21:08.930309,0.3051881993896277,-0.2042205582028611,0.430577
2022-09-06_08:21:12.420191,0.50761421319796,-0.27247956403269047,0.26593
2022-09-06_08:21:57.062406,0.4060913705583813,0.20519835841312783,0.175689
2022-09-06_08:23:06.064288,0.3039513677811634,0.2043596730245234,0.185411
2022-09-06_08:27:00.618692,0.30425963488844854,-0.2044989775051187,0.80922
2022-09-06_08:28:50.792130,0.3015075376884502,-0.20325203252031798,0.647701
2022-09-06_08:28:55.568999,0.3015075376884502,-0.20338983050847137,0.14825
2022-09-06_08:52:13.123424,0.5045408678102881,-0.205479452054802,0.004473
2022-09-06_08:52:25.472493,0.40160642570281624,-0.0683060109289535,0.525813
2022-09-06_14:58:16.996707,0.48076923076922906,-0.3223726627981982,0.018435
2022-09-07_07:00:31.695361,0.3831417624521105,-0.7858546168958647,0.000946
2022-09-07_07:00:36.455303,0.4849660523763344,-0.4590163934426128,0.30018
2022-09-07_07:17:46.590522,0.3731343283582156,-0.18963337547408532,0.175112
