timestamp,YKBNK.E_price_change,ISCTR.E_price_change,interval
2022-09-14_07:01:25.082814,0.49200492004919383,-0.19175455417066445,0.083982
2022-09-14_07:18:31.109700,0.49813200498132204,0.09532888465204614,0.225431
2022-09-14_07:19:20.432879,0.6082725060827299,-0.18832391713747842,0.194981
2022-09-14_07:19:20.866912,0.48484848484848797,-0.09407337723423836,0.021678
2022-09-14_07:19:23.321206,0.60606060606061,0.18814675446847673,0.237604
2022-09-15_07:00:00.376201,0.5188067444876765,0.6103763987792554,0.329234
2022-09-15_07:00:04.808483,0.6451612903225712,0.20387359836901986,0.299201
2022-09-15_07:00:41.214037,0.3811944091486552,-0.612244897959191,0.068145
2022-09-15_07:02:07.624405,0.512820512820511,-0.10172939979653517,0.284703
2022-09-16_07:00:00.549238,0.4405286343612369,-0.588235294117645,0.558733
2022-09-16_07:00:01.672257,0.8862629246676468,0.8235294117647118,0.022122
2022-09-16_07:15:08.010348,0.4373177842565523,-0.11764705882353343,0.003862
2022-09-16_07:26:42.738342,0.4316546762589857,-0.23094688221709792,0.298517
2022-09-16_07:28:31.020292,0.5641748942172065,0.11520737327188613,0.281629
2022-09-16_07:28:31.020681,0.42075736325386526,0.11520737327188613,0.28124
2022-09-16_07:28:31.023712,1.2658227848101333,0.11520737327188613,0.278209
2022-09-16_07:28:31.030266,0.9817671809256634,0.11520737327188613,0.271655
2022-09-16_07:36:57.243566,0.4213483146067398,0.0,0.001081
2022-09-16_07:37:08.738955,0.42016806722688926,0.11363636363637131,0.23556
2022-09-19_14:06:18.080939,0.4366812227074135,0.0,0.0
2022-09-20_07:01:37.047622,0.5610098176718203,0.12437810945273853,0.276799
2022-09-20_07:03:00.592729,0.99290780141843,0.12437810945273853,0.602449
2022-09-20_09:01:31.533961,0.43604651162789665,0.0,0.138287
2022-09-29_07:03:11.104868,0.41551246537396835,0.0,0.086443
2022-10-04_07:03:50.129287,0.49382716049382047,-0.11695906432749315,0.003883
2022-10-04_07:03:50.131853,0.49382716049382047,-0.11695906432749315,0.001317
2022-10-06_07:00:02.559230,0.3754693366708306,0.24242424242424399,0.62142
2022-10-17_08:50:22.029418,0.31347962382444194,-0.21857923497268228,0.207052
2022-10-19_11:40:09.755076,0.3076923076922977,0.09940357852882276,0.246903
2022-10-28_08:42:05.082948,0.33370411568409697,0.0,8.1e-05
2022-10-28_08:42:05.084846,0.33444816053511683,0.0,0.014061
2022-10-31_09:00:06.479563,0.33407572383072903,0.0,0.88401
2022-11-04_14:59:49.877572,0.32292787944026013,-0.22296544035673715,0.007031
2022-11-16_07:00:00.697850,0.3731343283582156,-0.30737704918033515,0.063888
2022-11-16_14:55:28.267587,0.9242144177449063,0.3015075376884502,0.791422
2022-11-16_14:55:28.267809,0.6410256410256387,0.3015075376884502,0.7912
