timestamp,KOZAA.E_price_change,IPEKE.E_price_change,interval
2023-01-06_14:17:26.420169,0.5988023952095745,0.06064281382656134,0.017944
2023-01-06_14:44:16.867752,0.5958291956305928,0.0,0.000621
2023-01-09_14:46:53.634103,0.8883248730964466,0.0,0.8072
2023-01-09_14:46:55.098438,0.8030431107354241,0.0,0.310994
2023-01-10_07:00:14.225218,0.7718696397941649,0.0,0.0
2023-01-10_07:00:51.924867,0.6050129645635227,0.0,0.0
2023-01-10_08:12:55.859268,1.1250540891388994,0.06150061500616033,0.105423
2023-01-10_12:14:40.718480,0.508044030482635,0.0,0.0
2023-01-11_07:22:15.811356,0.6289308176100628,0.0,0.119372
2023-01-11_07:40:19.487014,1.6289592760180938,-0.06079027355623268,0.516676
2023-01-11_07:41:25.466150,1.3513513513513598,0.12121212121212199,0.780136
2023-01-11_08:46:13.028128,0.5249343832020914,0.05847953216373547,0.355923
2023-01-11_09:47:28.740911,0.5562687205819428,0.0,0.202702
2023-01-11_10:35:55.907376,0.6843455945252375,0.05711022272987254,0.002088
2023-01-11_11:44:53.908637,0.6666666666666599,-0.11834319526626835,0.414577
2023-01-11_13:48:46.608695,1.6260162601626105,-0.23809523809523725,0.223472
2023-01-12_07:00:16.926198,1.8867924528301883,3.985722784057111,0.858566
2023-01-12_07:00:49.921010,0.900495272399815,0.29994001199760145,0.23869
2023-01-12_07:00:56.798900,0.9021199819575942,0.0,0.978076
2023-01-12_07:01:35.557487,0.540784136998651,-0.29797377830751426,0.118456
2023-01-12_10:41:29.938810,0.6427915518824712,0.0,0.895432
2023-01-12_14:25:29.764567,0.516573396470088,0.0,0.0
2023-01-12_14:33:45.966216,0.7286755250750065,-0.05903187721369996,0.465292
2023-01-13_07:13:09.246286,0.8924776880578023,0.2317497103128563,0.373924
2023-01-13_07:24:55.931155,1.4352047277332192,0.17391304347826875,0.260009
2023-01-13_07:25:30.343560,1.4333895446880351,0.11574074074074403,0.426644
2023-01-13_07:30:12.344306,0.8403361344537785,-0.057703404500863975,0.298083
2023-01-13_07:56:46.270167,0.8445945945946054,0.0,0.006533
2023-01-13_08:00:29.720732,0.6321112515802696,-0.1728110599078292,0.942092
2023-01-13_08:00:35.880634,0.631844987363106,-0.05753739930955959,0.78366
2023-01-13_08:00:43.520697,0.5892255892255838,0.0,0.0
2023-01-13_08:00:54.242634,0.5464480874316946,0.0,0.0
2023-01-13_08:00:58.005086,0.5464480874316946,0.0,0.0
2023-01-13_08:01:04.788743,0.588235294117645,0.0,0.0
2023-01-13_08:01:15.469159,0.5459890802183898,0.0,0.0
2023-01-13_08:01:19.478794,0.5879882402352044,0.0,0.929461
2023-01-13_08:01:23.216943,0.5035669324380931,0.0,0.824521
2023-01-13_08:01:28.826842,0.5457598656591012,0.05750431282345314,0.585359
2023-01-16_07:00:03.774140,0.7027697395618038,-0.4039238315060478,0.575628
2023-01-16_07:20:06.813053,0.6641760066417701,0.05783689994216523,0.000808
2023-01-16_07:20:06.815126,0.6221484861053561,0.0,0.0
2023-01-16_08:50:01.550561,0.5808325266214887,0.21965952773201902,0.520037
2023-01-19_07:00:10.226031,0.7142857142857117,0.1071811361200492,0.211957
2023-01-24_07:52:22.993912,0.6751054852320637,-0.261369576581294,0.208298
2023-01-27_14:59:36.873136,0.7085916740478204,0.0,0.009342
2023-02-02_13:48:16.640315,0.5586592178770999,0.06752194463199857,0.75043
2023-02-06_07:00:19.951108,2.259414225941425,-2.8474576271186436,0.886586
2023-02-06_07:06:08.426098,0.5412156536219737,0.0,0.0
2023-02-06_07:06:12.548108,0.6250000000000089,0.0,0.0
2023-02-06_07:06:28.320477,0.6669445602334401,0.0,0.0
2023-02-06_07:23:39.743409,0.7835051546391858,0.06544502617800152,0.000295
2023-02-06_07:34:49.687171,0.6619776582540426,0.0,0.0
2023-02-06_08:10:14.591081,0.5706760316066761,0.0,0.184394
2023-02-06_08:19:16.410061,0.5161290322580614,0.0,0.0
2023-02-06_08:19:24.667692,0.5161290322580614,0.0,0.0
2023-02-06_08:26:43.183954,0.8214440121054878,0.0,0.620937
2023-02-06_09:09:58.294527,0.5492184199408445,0.0,0.0
2023-02-06_13:35:27.673797,0.7798960138648114,0.0,0.0
2023-02-06_14:08:49.740327,0.8406893652795233,0.0,0.0
2023-02-07_07:00:00.596224,0.6224066390041472,-1.0568031704095038,0.049983
2023-02-07_07:01:05.192747,0.7188160676532718,-0.13271400132714994,0.521645
2023-02-07_07:37:45.112930,0.5170185264971927,0.0,0.0
2023-02-07_10:37:59.522856,0.5800981704596087,0.0,0.0
2023-02-07_12:15:29.414857,0.59306569343065,0.0,0.0
2023-02-07_12:33:43.232974,0.5027422303473417,0.0,0.073897
2023-02-07_13:05:32.023618,0.6331976481230184,0.0,0.0
2023-02-15_07:00:00.437738,0.754549489569456,0.4270462633451988,0.941264
2023-02-15_07:00:14.417137,0.9892473118279677,0.0,0.328616
2023-02-15_07:00:21.611189,2.9798422436459138,0.0,0.0
2023-02-15_07:00:25.589136,1.13885238720981,0.0,0.697298
2023-02-15_07:00:31.180361,0.5106382978723456,0.0,0.492596
2023-02-15_07:01:01.258919,1.0367170626349953,0.0,0.035432
2023-02-15_07:01:02.763438,1.0362694300518172,0.0,0.511953
2023-02-15_07:01:20.073857,1.4316702819956673,0.0,0.986381
2023-02-15_07:01:28.214850,0.7349762213575417,0.0,0.941523
2023-02-15_07:02:03.202740,0.6501950585175553,0.0,0.0
2023-02-15_07:02:30.267800,1.2189812799303423,-0.9090909090909038,0.467658
2023-02-15_07:02:54.600744,0.823937554206422,0.4169562195969423,0.952349
2023-02-15_07:02:59.018323,0.693541395752062,0.0,0.38442
2023-02-15_07:03:09.236626,0.7809110629067195,0.0693962526023606,0.239959
2023-02-15_07:05:03.889160,0.6113537117903967,0.0,0.0
2023-02-15_07:05:11.004252,0.5244755244755206,0.0,0.527516
2023-02-15_07:05:13.292520,1.7467248908296984,0.0,0.363593
2023-02-15_07:05:25.327103,0.7433318758198526,0.0,0.0
2023-02-15_07:24:17.299831,1.8321261184490734,-0.13175230566535578,0.205408
2023-02-15_07:26:48.649749,1.0526315789473717,0.0,0.371738
2023-02-15_07:30:25.154109,0.5061155630535552,0.0,0.0
2023-02-16_07:05:17.354920,1.2935323383084674,0.06165228113439447,0.415771
2023-02-16_07:05:34.370042,1.4999999999999902,0.0,0.413945
2023-02-16_07:05:39.875813,0.7928642220019766,0.0,0.968522
2023-02-16_07:08:39.594747,0.5241935483870863,0.0,0.873025
2023-02-16_07:38:10.716327,0.6402561024409836,0.0,0.0
2023-02-16_07:38:23.386222,0.7992007992007943,0.0,0.0
2023-02-16_08:42:27.933998,0.8742714404662788,0.0,0.0
2023-02-16_08:42:50.467004,0.6224066390041472,0.0,0.623112
2023-02-16_08:43:00.146035,0.5787515502273743,0.0,0.0
2023-02-17_07:03:11.490737,0.5237887385421303,0.0,0.0
2023-02-17_07:03:41.775734,0.6553079947575258,0.0,0.0
2023-02-17_07:12:00.058037,0.5596211795092509,0.0,0.0
2023-02-21_07:05:09.981168,1.1676396997498006,0.12845215157353262,0.657945
2023-02-21_07:15:59.960898,0.8319467554076532,0.1279590531030106,0.432605
2023-02-22_07:00:32.888478,0.8351648351648366,0.0,0.0
2023-02-22_09:46:57.452177,0.7718696397941649,0.0,0.0
2023-03-01_07:19:37.977477,0.5291005291005346,0.0,0.000844
2023-03-10_13:21:10.273718,0.7032348804500765,0.0,0.143958
2023-03-10_13:21:26.609394,0.561797752808979,0.0,0.0
2023-03-10_13:36:35.861440,0.5106778087279551,0.0,0.749361
2023-03-14_07:21:03.474069,0.8442776735459567,0.0,0.0
2023-03-14_07:21:07.022770,0.8895131086142261,-0.19788918205805306,0.00077
2023-03-14_14:59:22.840031,0.6193425440686129,-0.06784260515604323,0.848298
2023-03-14_14:59:58.310347,0.9980988593155882,0.0,0.0
2023-03-15_10:47:14.183230,1.0956175298804771,0.21082220660575413,0.002187
2023-03-15_10:49:09.299705,0.7940446650124056,0.0,0.041474
2023-03-15_14:35:06.279679,0.7940446650124056,0.14124293785311437,0.132908
2023-03-17_14:35:08.234774,0.6045340050377934,0.0,0.0
2023-03-20_08:01:00.878661,0.9100101112234471,0.14144271570013522,0.001727
2023-03-20_08:01:28.683603,0.9591115598182709,0.0,0.574842
2023-03-20_08:01:28.685193,0.8064516129032251,0.0,0.573252
2023-03-20_13:08:52.755391,1.3965087281795574,0.2812939521800173,0.108866
2023-03-21_07:29:48.160824,0.6519558676028048,0.07147962830593713,0.002462
2023-03-21_07:29:48.162132,0.9519038076152286,0.07147962830593713,0.001154
2023-03-21_07:29:48.165075,1.1511511511511419,0.0,0.020818
2023-03-21_10:03:37.437086,0.9355509355509328,-0.3679175864606421,0.001841
