timestamp,KCHOL.E_price_change,SAHOL.E_price_change,interval
2023-01-11_07:26:36.065767,0.34482758620688614,0.04982561036372957,0.439737
2023-01-11_07:27:17.642006,0.4120879120879106,0.09940357852882276,0.716403
2023-01-17_07:26:22.664835,0.4572175048987548,0.0,0.000929
2023-01-23_14:48:41.391024,0.363416111447612,-0.0936329588014928,0.216484
2023-01-23_14:48:41.392338,0.4239854633555362,-0.0936329588014928,0.21517
2023-01-23_14:56:04.827587,0.3058103975535076,-0.04662004662003838,0.148971
2023-01-23_14:56:04.830873,0.3050640634533197,-0.04662004662003838,0.145685
2023-01-24_07:00:01.498056,0.6662628709872775,0.280636108512633,0.511509
2023-01-25_13:08:01.443588,0.32030749519538215,0.0,0.013691
2023-01-27_07:00:03.381688,0.3853564547206201,0.3031834259727084,0.92009
2023-02-02_14:59:39.936604,0.3450655624568588,0.41972717733473885,0.383639
2023-02-06_07:11:27.076605,0.45992115637318864,-0.15007503751875984,0.274921
2023-02-06_07:14:16.836472,0.3261578604044413,-0.10030090270811698,0.393558
2023-02-06_08:36:02.166142,0.33222591362125353,0.0,0.251343
2023-02-06_09:15:51.551467,0.33046926635822427,0.0,0.0
2023-02-06_11:21:39.283916,0.4034969737726879,0.0,0.404872
2023-02-06_12:34:30.268440,0.8310249307479145,0.0,0.0
2023-02-06_13:00:01.726616,0.7427413909520508,0.0,0.0
2023-02-06_14:10:05.091933,0.4051316677920358,0.0,0.080785
2023-02-06_14:41:37.096818,0.3300330033003229,0.0,0.33559
2023-02-06_14:49:51.287561,0.9887936717205115,0.0,0.8729
2023-02-06_14:52:45.034324,0.39241334205362133,0.0,0.0
2023-02-06_14:53:49.867371,1.0533245556286985,0.0,0.114654
2023-02-06_14:54:06.442249,0.5239030779305764,0.04999999999999449,0.949716
2023-02-07_07:02:00.061620,0.33444816053511683,-0.1007556675062915,0.314123
2023-02-07_07:18:06.345128,0.33921302578019397,0.0,0.67263
2023-02-07_07:25:09.624038,0.40733197556008793,0.1025115325474113,0.491739
2023-02-07_09:50:23.561745,0.34602076124568004,-0.3144654088050425,0.407898
2023-02-07_09:50:41.316549,0.3462603878116255,0.20975353959098442,0.887465
2023-02-07_09:50:43.961437,0.485100485100487,-0.20975353959098442,0.242577
2023-02-08_07:00:17.854885,0.5116959064327409,-0.5393743257820827,0.262821
2023-02-08_07:00:18.431079,0.5835156819839593,0.4314994606256839,0.464074
2023-02-08_07:01:53.281206,0.5173688100517326,-0.054377379010328575,0.888856
2023-02-08_07:08:08.684218,0.5235602094240788,0.2230897936419396,0.48564
2023-02-08_07:08:09.029697,0.7496251874062887,0.2230897936419396,0.140161
2023-02-08_07:08:20.602449,0.5983545250560995,0.6131549609810438,0.999465
2023-02-08_07:09:13.711807,0.522388059701484,-0.11111111111110628,0.610675
2023-02-08_07:10:30.361863,0.3016591251885359,-0.2230897936419396,0.534468
2023-02-08_07:11:31.899039,0.7547169811320753,-0.28169014084507005,0.212114
2023-02-08_07:11:38.033069,0.37907505686125553,-0.33821871476888976,0.070853
2023-02-15_07:00:13.824779,0.33806626098715764,-0.20294266869609334,0.032929
2023-02-15_07:00:14.393866,0.5420054200542035,0.20294266869609334,0.716019
2023-02-15_07:00:35.641686,0.4087193460490468,0.3053435114503733,0.72046
2023-02-15_07:00:47.687834,0.4109589041095818,0.45824847250508505,0.764466
2023-02-15_07:00:53.400179,0.33921302578019397,0.2544529262086481,0.637952
2023-02-15_07:00:55.094628,0.8179959100204526,0.2544529262086481,0.256271
2023-02-15_07:01:46.341298,0.3415300546448119,-0.05096839959224386,0.013479
2023-02-15_07:01:50.726848,0.3415300546448119,0.2548419979612637,0.124493
2023-02-15_07:03:46.521087,0.5434782608695565,-0.3051881993896277,0.245212
2023-02-15_07:23:07.517186,0.3978779840848823,0.09940357852882276,0.257633
2023-02-15_07:24:27.122365,0.33200531208499307,-0.049677098857436874,0.410648
2023-02-15_07:24:27.122656,0.33090668431501324,-0.049677098857436874,0.410357
2023-02-16_07:00:01.180639,0.5555555555555536,1.2482662968099856,0.838446
2023-02-16_07:00:01.422095,0.6798516687268163,1.2482662968099856,0.59699
2023-02-16_07:00:02.217724,0.6802721088435382,1.2482662968099856,0.801361
2023-02-16_07:00:02.515993,0.6802721088435382,0.6433823529411686,0.503092
2023-02-16_07:00:03.228864,0.6802721088435382,-0.6896551724137945,0.058386
2023-02-16_07:00:05.094729,0.37014188772361845,-0.6896551724137945,0.001808
2023-02-16_07:00:12.556903,0.9293680297397744,0.09195402298851629,0.073979
2023-02-16_07:00:15.462856,0.3696857670979714,0.22977941176469674,0.528748
2023-02-16_07:00:24.969898,0.30807147258162804,-0.22988505747125743,0.106623
2023-02-16_07:00:30.358720,0.30788177339902134,-0.22977941176469674,0.009282
2023-02-16_07:00:50.874781,0.30788177339902134,-0.6941230911615026,0.6545
2023-02-16_07:05:28.770924,0.31152647975076775,0.32679738562091387,0.481243
2023-02-16_07:05:32.876617,0.31289111389236623,-0.18648018648017572,0.300476
2023-02-16_07:06:24.912092,0.3103662321539469,-0.1890359168241984,0.096684
2023-02-16_07:07:25.797431,0.31328320802004317,0.1877934272300541,0.439655
2023-02-16_07:08:29.773867,0.5031446540880502,-0.3311258278145601,0.199063
2023-02-16_07:09:35.068077,0.31786395422759295,-0.23923444976077235,0.45221
2023-02-16_07:10:24.992930,0.32030749519538215,-0.28901734104045396,0.718095
2023-02-16_07:14:21.769782,0.6905210295040876,0.1404494382022392,0.447323
