timestamp,IPEKE.E_price_change,KOZAL.E_price_change,interval
2022-01-24_08:04:15.260280,0.5063291139240533,0.07496251874063997,0.788433
2022-01-24_10:45:44.529820,0.5825242718446644,-0.15527950310558758,0.84368
2022-01-25_11:16:17.644298,0.5369127516778427,0.0,0.094164
2022-02-22_07:06:04.979455,0.547195622435015,0.0,0.0
2022-02-22_14:53:42.204874,0.6189821182943644,0.0,0.35482
2022-03-16_14:02:34.879508,0.5181347150259086,0.0,0.002769
2022-04-04_12:41:11.089837,0.6372809346786967,-0.2577319587628857,0.954323
2022-04-05_07:28:54.528899,0.5762179151388214,0.06518904823988869,0.884362
2022-04-13_07:00:02.013798,0.5692599620493288,-0.8720930232558155,0.305338
2022-04-13_07:00:02.339316,0.7604562737642651,-0.8720930232558155,0.047061
2022-04-13_07:00:05.884462,0.9532888465205058,1.2865497076023358,0.171829
2022-04-13_07:00:07.360337,0.5692599620493288,-1.2865497076023358,0.695954
2022-04-13_07:00:11.229169,0.574162679425827,-0.873616773442043,0.034573
2022-04-13_07:00:24.325351,0.5747126436781658,-0.8168028004667427,0.052379
2022-04-13_07:00:39.891017,0.5758157389635254,-0.40579710144927894,0.157109
2022-04-13_07:00:57.232646,0.7677543186180413,-0.40721349621872793,0.8548
2022-04-13_14:58:47.065377,0.5747126436781658,0.2354326074161195,0.679601
2022-04-14_07:00:11.149602,0.764087870105068,0.4137115839243588,0.783018
2022-05-16_09:53:15.631314,0.9972801450589319,0.1044386422976551,0.008659
2022-06-13_14:09:13.352554,0.547045951859948,0.0,0.240913
2022-06-13_14:09:19.364593,0.654664484451728,0.0,0.767141
2022-06-20_14:38:04.884941,0.5263157894736858,0.051759834368536595,0.072247
2022-06-28_14:55:05.041710,0.8484162895927572,0.05434782608695343,0.158897
2022-07-14_14:59:05.175911,0.6006006006006093,0.0,0.0
2022-08-10_07:01:00.127194,0.556792873051215,0.31725888324873885,0.777433
2022-08-18_07:00:02.495138,0.6271379703534752,0.5060088551549713,0.975363
2022-08-18_07:00:02.967731,0.5698005698005604,0.5060088551549713,0.50277
2022-09-16_14:55:03.233839,0.5151983513652647,0.10548523206750371,0.101198
2022-10-06_14:05:10.407227,0.5591798695246952,-0.10178117048345037,0.432262
2022-10-06_14:05:11.377033,0.6511627906976791,0.15267175572519776,0.65747
2022-10-06_14:05:26.750472,0.9310986964618184,-0.20294266869609334,0.442593
2022-10-06_14:31:59.763906,0.557103064066844,0.0507872016251909,0.901311
2022-10-17_07:00:00.235269,0.5212858384013863,0.35264483627204246,0.392323
2022-10-17_07:00:10.200676,0.60606060606061,-0.15098137896325525,0.372101
2022-10-20_11:28:00.304041,0.5568814638027053,0.09866798223976403,0.841125
2022-10-21_10:23:58.363585,0.6711409395973256,0.04911591355598599,0.220187
2022-10-21_12:03:48.504562,0.6711409395973256,0.19627085377822429,0.100341
2022-10-24_07:00:02.015037,0.5177514792899407,0.24789291026277027,0.094079
2022-10-24_07:00:04.757577,0.5908419497784312,0.1983143282102029,0.891886
2022-10-24_07:00:04.816962,0.5162241887905594,0.1983143282102029,0.832501
2022-10-24_07:05:36.640479,0.5219985085756829,-0.09915716410511255,0.006227
2022-10-24_08:27:37.216940,0.5417956656346812,0.0,0.240834
2022-10-25_10:28:38.576652,1.388888888888884,0.3556910569105787,0.483327
2022-10-25_10:28:38.577487,0.5351681957186605,0.3556910569105787,0.482492
2022-10-25_14:59:08.327454,0.5586592178770999,0.0,0.000306
2022-10-31_14:46:12.474625,0.512070226773953,-0.051440329218110925,0.042504
2022-10-31_14:51:31.335199,0.6661732050333047,0.0515729757607053,0.003189
2022-10-31_14:57:23.271224,0.511322132943759,-0.05151983513653757,0.563454
2022-10-31_14:59:35.782290,0.5843681519357213,0.0514933058702427,0.952583
2022-11-03_08:35:21.702405,1.3642564802182733,0.0,0.003347
2022-11-11_14:59:28.547059,0.6680026720106813,-0.22411474675032572,0.198708
2022-11-11_14:59:32.113988,1.001335113484636,-0.13434841021047195,0.092947
2022-11-25_07:00:14.061340,0.9846827133479286,-0.8928571428571397,0.204248
2022-11-25_08:31:54.980969,0.662617338487026,0.09014423076922906,0.076451
2022-11-25_13:30:30.821947,0.611450806003333,0.02996703626010344,0.008021
2022-11-25_14:55:41.328854,0.731570061902076,0.0,0.154237
2022-11-25_14:58:12.458624,0.8403361344537785,-0.11816838995568624,0.287949
2022-11-28_14:54:07.315233,0.5241700640652214,-0.059683676514477035,0.007831
2022-12-08_07:46:03.320062,0.9090909090909038,-0.16357688113413094,0.304769
2022-12-08_11:09:45.318436,0.5033557046979942,0.05241090146750338,0.416699
2022-12-08_13:41:20.496387,0.5302226935312904,-0.02532928064842288,0.122784
2022-12-08_14:30:52.999122,0.5268703898840821,0.0,0.0
2022-12-09_07:01:42.618050,0.5876068376068355,-0.4750000000000032,0.084239
2022-12-09_07:02:08.830959,0.8021390374331583,-0.29999999999998916,0.280179
2022-12-09_07:07:13.741802,0.5497526113249052,1.1378002528444897,0.755725
2022-12-09_12:49:30.024189,0.6437768240343367,0.0,0.362118
2022-12-09_13:50:32.350888,1.2419006479481576,0.048520135856389146,0.342966
2022-12-09_13:51:17.674067,1.1840688912809538,0.0,0.000974
2022-12-09_14:27:06.174130,0.5359056806002238,-0.04829751267809712,0.748843
2022-12-12_09:05:38.913813,0.6006006006006093,-0.043001505052675526,0.22095
2022-12-13_07:11:47.427437,1.3619696176008445,0.28316270964932055,0.625592
2022-12-13_14:33:06.840247,0.7216494845360799,-0.020454080589082935,0.404217
