timestamp,KOZAL.E_price_change,KOZAA.E_price_change,interval
2022-02-24_07:30:05.731374,0.6825938566553003,0,0
2022-04-13_07:00:01.493079,0.5208333333333259,-0.4490057729313657,7.6e-05
2022-04-13_07:00:01.840471,0.6964596633778353,-0.2562459961563013,0.008649
2022-06-30_14:48:59.541987,0.7075471698113178,0.07818608287724071,0.027296
2022-07-01_07:01:03.182721,0.5067567567567544,0.07396449704142327,0.004121
2022-07-04_07:00:11.716790,0.8403361344537785,0,0
2022-08-10_07:00:17.476393,1.0152284263959421,0.0,0.06473
2022-09-07_07:00:00.388356,0.6238303181534732,0.21865889212828726,0.047403
2022-09-15_14:36:53.151265,0.5232862375719627,0,0
2022-09-20_07:00:00.326212,0.5056179775280834,0.7834757834757733,0.158487
2022-11-22_11:06:32.687511,0.6861682918021028,0.0,0.004417
2022-11-22_14:52:35.710224,0.694444444444442,0.09813542688910104,0.033469
2022-11-25_07:09:54.837163,0.7025761124121788,-0.0852151682999569,0.00063
2022-11-25_07:09:54.838648,0.9953161592505921,-0.0852151682999569,0.001592
2022-11-25_07:10:03.553697,0.7005253940455258,-0.12760527435133895,0.001689
2022-11-25_07:10:03.557091,0.7280139778683692,-0.12760527435133895,0.013208
2022-11-25_07:10:03.563108,1.224132905858344,-0.12760527435133895,0.007191
2022-11-25_07:10:03.564160,1.544289044289049,-0.12760527435133895,0.006139
2022-11-25_07:10:03.565382,1.6321772078111252,-0.12760527435133895,0.004917
2022-11-25_07:10:09.995215,1.3119533527696792,-0.12728044123886395,0.000947
2022-11-25_07:10:10.293185,1.282424948994465,-0.08485362749257597,0.007268
2022-11-25_07:10:17.268274,1.0449927431059436,-0.1267962806424272,0.009249
2022-11-25_07:10:17.271246,1.0724637681159388,-0.1267962806424272,0.006277
2022-11-25_07:10:17.272095,1.0724637681159388,-0.1267962806424272,0.005428
2022-11-28_07:17:03.029909,0.5369928400954738,-0.13636363636364557,0.027619
2022-11-28_08:25:57.190044,0.588235294117645,0.0926784059314123,0.211257
2022-12-02_07:00:46.571684,0.5016302984700349,0.0,0.007083
2022-12-06_07:00:12.006565,0.5119913769873419,0.0,0.105923
2022-12-06_07:00:20.337386,0.5661903478026531,0.041356492969391034,0.047352
2022-12-06_07:01:19.223162,1.4693651233712135,0.041753653444676075,0.07877
2022-12-06_07:01:49.585984,0.5867560771165126,0.04177109440266502,0.001033
2022-12-06_07:01:50.435215,1.6661959898333745,0.04177109440266502,0.235811
2022-12-06_07:24:05.060831,0.9021323127392122,0.0,0.000947
2022-12-08_07:11:43.023774,0.6521122767224163,0.1325673884224443,0.170514
2022-12-08_07:13:27.061576,0.5638567803777805,0.0,0.000703
2022-12-08_07:16:19.192320,0.6961849067112169,0.08779631255486642,0.031551
2022-12-08_07:16:40.218573,0.6107717934480839,0.08748906386701893,0.205563
2022-12-08_08:15:10.032382,0.7886435331230235,0.16583747927032544,0.275682
2022-12-08_08:15:15.088884,0.5238344683080154,-0.12437810945273853,0.098328
2022-12-09_07:06:54.305700,1.2417638114546437,-0.09765625,0.000479
2022-12-09_07:07:14.497527,0.9336361342417332,-0.09737098344693162,0.059716
2022-12-09_07:07:21.478003,0.5277707966825806,-0.0970873786407811,0.146777
2022-12-13_10:51:15.101707,1.0309278350515427,-0.17621145374449032,0.005414
2022-12-13_10:51:15.105401,0.9684731094168564,-0.17621145374449032,0.00172
2022-12-13_10:51:18.644421,0.8865979381443401,0.08779631255486642,0.007438
2022-12-13_14:59:36.962879,0.7639892628535927,0.0,0.149075
2022-12-13_14:59:41.962186,0.577081615828523,0,0
2022-12-15_13:04:39.042192,0.9490940465918918,0.09345794392523477,0.042269
2022-12-15_13:05:08.717872,0.6436387041407476,0.0,0.001633
2022-12-15_14:25:29.905378,0.8156256707448017,0.09276437847867136,0.195302
2022-12-19_07:00:13.563969,0.5356407086938519,0,0
2022-12-27_07:00:02.917011,0.776791376030439,-1.3937282229965264,0.000316
2022-12-27_07:00:06.297786,0.7930214115781098,-0.3436426116838476,0.031922
2022-12-27_07:00:31.307867,0.6240249609984483,0.0,0.287632
2022-12-27_07:00:38.042554,0.6241223279762842,-0.1707941929974366,0.208726
2022-12-27_07:00:38.420159,0.5299251870324095,-0.17021276595745594,0.03867
2022-12-27_07:14:00.607499,0.6153846153846176,0.0,0.0116
2022-12-27_07:14:00.608339,0.599907706506686,0.0,0.01076
2022-12-28_08:39:16.876014,0.6817426005986116,-0.2854424357754626,0.004596
2022-12-28_08:39:16.876692,0.9983361064891838,-0.2854424357754626,0.003918
2022-12-28_09:29:05.061830,0.5538361296628214,0.0,0.001418
2022-12-29_07:00:00.525870,1.0452961672473782,-0.4854368932038833,0.031702
2022-12-29_07:00:58.577131,0.5291005291005346,0.0,0.000621
2022-12-29_07:04:22.442226,0.6963533076782102,0.1988071570576455,0.00642
2022-12-29_11:02:36.662479,0.5255127987794594,0.09165902841430373,0.006615
2022-12-29_12:25:31.948973,0.5576542543622942,0.0,0.244402
2022-12-29_14:25:10.061133,0.7634943181818121,0.0,0.001506
2022-12-30_07:00:02.779216,0.5434782608695565,0.09293680297397522,0.135224
2022-12-30_07:06:35.932725,0.5260293850897879,0,0
2023-01-02_07:00:04.004047,1.379310344827589,0,0
2023-01-02_07:00:04.169756,0.5977796754910392,0,0
2023-01-02_07:00:07.629139,0.6837606837606813,0,0
2023-01-02_07:00:08.275881,0.5119453924914641,-0.2759889604415866,0.06518
2023-01-02_07:00:22.091006,0.6490179333902724,0,0
2023-01-02_07:00:55.907270,0.6560773480662974,0,0
