timestamp,KOZAA.E_price_change,KOZAL.E_price_change,interval
2022-02-03_13:59:16.902181,0.5499541704858002,0.0794281175536149,0.012732
2022-02-08_08:00:11.318747,0.7352941176470562,0.0,0.0
2022-02-25_07:00:01.551785,0.5615109749872449,0.3555555555555534,0.412528
2022-02-25_07:00:03.643299,0.5102040816326481,0.4444444444444473,0.302916
2022-03-11_13:00:02.398168,0.8814102564102644,0.1413427561837377,0.012295
2022-04-13_07:00:07.015262,0.6393861892583175,1.2865497076023358,0.041029
2022-04-13_07:00:13.889366,0.5121638924455718,-0.8149010477299212,0.001889
2022-04-25_07:00:00.456021,0.920447074293218,0.3671970624234966,0.193071
2022-06-27_07:00:31.024905,0.5843681519357213,0.4308023694130414,0.004183
2022-06-30_14:50:20.503402,0.7025761124121788,-0.11743981209630938,0.668404
2022-06-30_14:50:56.426360,0.78125,0.05871990604815469,0.004733
2022-06-30_14:51:25.115918,0.8600469116497367,0.058685446009398845,0.001568
2022-07-18_07:03:03.101862,1.5936254980079667,0.19011406844107182,0.035678
2022-07-18_07:03:17.241571,1.0301109350237647,0.12682308180089752,0.010602
2022-07-29_07:59:36.024031,0.5061460592914013,0.0,0.001562
2022-08-11_09:03:42.918736,0.853374709076804,0.13404825737264314,0.527506
2022-09-07_14:38:22.277320,0.7601935038009655,-0.2321532211259525,0.026718
2022-09-07_14:38:22.279248,0.7549759780370646,-0.2321532211259525,0.02479
2022-09-14_07:00:00.374754,0.6276150627614996,-0.7950028392958552,0.067862
2022-09-14_07:00:05.731091,0.6997900629811094,0.5681818181818121,0.031611
2022-09-20_07:00:01.669236,0.7773851590106018,0.8403361344537785,0.44884
2022-09-20_07:00:08.499921,0.5641748942172065,0.670016750418756,0.450864
2022-09-20_07:00:10.622049,0.6311360448807868,0.5011135857460935,0.239977
2022-09-21_14:56:12.545035,0.7412398921832875,0.05107252298264253,0.002173
2022-10-18_14:14:24.339926,0.5451241671714069,-0.14619883040936088,0.182578
2022-11-09_13:30:16.554871,0.7080610021786393,-0.09345794392523477,0.012579
2022-11-11_07:00:08.067637,1.5706806282722585,0.39823008849557695,0.401358
2022-11-25_07:00:24.173030,0.5637467476149238,-1.6491754122938573,0.019772
2022-12-07_14:37:53.029498,0.6521739130434856,0.0552333609500133,0.296965
2022-12-07_14:37:53.030032,0.6084311169056944,0.0552333609500133,0.296431
2022-12-07_14:37:53.030485,0.6084311169056944,0.0552333609500133,0.295978
2022-12-07_14:37:53.034507,0.606323083585969,0.0552333609500133,0.291956
2022-12-07_14:37:53.036058,0.692340977931627,0.0552333609500133,0.290405
2022-12-07_14:37:53.037004,0.5637467476149238,0.0552333609500133,0.289459
2022-12-07_14:37:53.038905,0.649913344887354,0.0552333609500133,0.287558
2022-12-13_07:00:12.495794,0.5281690140845008,0.647948164146861,0.600827
2022-12-15_07:00:13.581166,0.7181328545780907,-0.12371134020618957,0.486375
2022-12-16_13:45:26.247772,0.6404391582799596,0.12526096033402823,0.015309
2022-12-19_07:04:06.385675,0.7414272474513428,-0.12502604709314635,0.319482
2022-12-21_07:07:18.123908,0.5376344086021501,-0.14972861688189454,0.457343
2022-12-22_07:05:49.588387,0.6352087114337657,-0.11305822498586249,0.008349
2022-12-26_07:00:00.685483,0.8122743682310363,0.34071550255536653,0.141708
2022-12-27_07:01:43.232940,0.679694137638065,0.09382329945268886,0.455994
2022-12-27_07:07:22.182195,0.5794701986755024,0.13740458015267798,0.915351
2022-12-27_07:07:28.153829,0.9098428453267138,0.29092022661154626,0.296925
2022-12-27_07:07:40.342134,0.7431874483897705,-0.18334606569900824,0.001789
2022-12-27_08:10:04.459090,0.5957446808510625,-0.09239297813365965,0.343953
2022-12-27_08:39:34.586964,0.603448275862073,0.06192909119058232,0.875763
2022-12-27_09:24:19.843994,0.9499136442141731,0.07825950853028729,0.566288
2022-12-27_09:26:27.260847,0.7751937984496138,-0.12547051442910462,0.009182
2022-12-27_12:10:32.988164,0.6837606837606813,0.04583651642475761,0.553252
2022-12-27_14:54:37.432655,0.5163511187607606,-0.2110340669279509,0.17036
2022-12-28_07:00:23.958608,0.8849557522123908,-0.5279034690799378,0.940916
2022-12-28_07:01:22.793203,0.7085916740478204,0.16469531366971601,0.195831
2022-12-28_07:39:26.133317,0.5649717514124353,0.0,0.0
2022-12-28_07:39:26.175900,0.5692599620493288,0.0,0.0
2022-12-28_07:40:37.062309,0.9389671361502261,0.0,0.0
2022-12-28_07:54:47.803055,0.55299539170508,-0.20770091068860186,0.026427
2022-12-28_08:39:16.186295,0.570884871550903,1.6066945606694638,0.690612
2022-12-28_08:39:16.421658,0.6647673314339908,-1.6066945606694638,0.455249
2022-12-28_08:48:01.936055,0.5687203791469253,0.41876046901172526,0.893784
2022-12-29_07:00:51.255838,0.9803921568627416,0.5113736554399617,0.570165
2022-12-29_07:42:32.403298,0.5946481665014769,0.0,0.0
2022-12-29_10:22:53.429450,0.5730659025787954,-0.08779631255486642,0.001591
2022-12-29_12:37:28.470894,0.7604562737642651,-0.08946144211845475,0.331206
2022-12-29_12:37:56.151834,0.6647673314339908,0.161145926589068,0.317895
2023-01-02_07:00:53.120142,0.5540166204986097,1.3913043478260834,0.787128
2023-01-02_07:01:43.294494,0.6404391582799596,-0.29335634167386715,0.311178
2023-01-02_08:18:43.616522,0.5535055350553542,0.06874033339061558,0.728208
2023-01-03_07:00:15.861286,0.5381165919282616,-0.23942537909018569,0.972756
2023-01-03_09:53:34.486343,0.5366726296958779,0.0153303694619078,0.647682
