timestamp,KOZAL.E_price_change,KOZAA.E_price_change,interval
2022-01-10_14:58:08.908722,0.3167062549485289,0,0
2022-01-12_07:05:01.980334,0.31695721077653616,0.0,0.435846
2022-01-17_09:30:04.593209,0.37119524870081744,-0.08741258741258306,0.004375
2022-01-19_07:00:00.368268,0.3162055335968361,0.9216589861751112,0.293461
2022-01-19_07:10:12.000605,0.31347962382444194,0.0,0.483031
2022-01-31_12:15:43.210493,0.3897116134060852,0.08613264427217437,0.568685
2022-02-08_08:00:07.758278,0.472069236821393,0.7352941176470562,0.560469
2022-02-14_07:00:11.350751,0.4758128469468659,-0.3707136237256714,0.878333
2022-02-24_07:30:05.731374,0.6825938566553003,0.0,0.725256
2022-02-28_14:30:15.237313,0.35211267605634866,0.05104645227156368,0.549092
2022-03-01_14:15:50.437486,0.34305317324185847,0.0,0.001732
2022-03-02_07:33:28.736037,0.3415883859948732,0.09970089730808596,0.009199
2022-03-02_08:18:34.776927,0.33755274261604296,0.09891196834816984,0.280542
2022-03-04_07:01:13.256769,0.3028009084027339,-0.44286979627989886,0.495145
2022-03-04_07:05:04.371571,0.3039513677811634,0.17667844522968323,0.217779
2022-03-08_07:00:01.077834,0.435097897026826,-0.8130081300812941,0.489433
2022-03-08_07:09:03.413242,0.34965034965035446,-0.3172085646312439,0.467548
2022-03-09_07:00:31.761078,0.33444816053511683,0.5899705014749346,0.944502
2022-03-11_08:35:23.828434,0.34059945504087974,-0.15313935681469104,0.367595
2022-04-05_13:47:43.131848,0.3188775510204023,0.1388888888888884,0.023684
2022-04-13_07:00:01.376726,0.3472222222222321,-1.6139444803098701,0.028986
2022-04-13_07:00:01.493079,0.5208333333333259,-1.6139444803098701,0.912633
2022-04-13_07:00:01.840471,0.6964596633778353,-1.6139444803098701,0.565241
2022-04-13_07:00:06.687646,0.34802784222738303,1.0918432883750828,0.327616
2022-04-14_07:00:01.237380,0.35335689045936647,-0.7638446849140612,0.589387
2022-04-14_07:00:12.932620,0.35440047253396667,-0.3190810465858229,0.31564
2022-04-18_09:34:23.110372,0.4039238315060478,0.1209921355111998,0.016579
2022-04-18_09:35:11.340761,0.34642032332563577,0.0605326876513379,0.006446
2022-05-13_14:59:53.387894,0.42735042735042583,0.0,0.560665
2022-05-17_07:00:00.752778,0.31695721077653616,0.35419126328217754,0.911676
2022-05-20_08:13:16.879743,0.43126684636118906,0.18927444794951676,0.038845
2022-05-23_12:29:35.275073,0.433839479392617,0.0,0.003136
2022-05-26_14:04:43.404773,0.36687631027254586,0.06514657980456473,0.069045
2022-06-08_14:36:08.720703,0.3141361256544517,0,0
2022-06-08_14:36:56.879542,0.3697834125726329,0.5517241379310311,0.02432
2022-06-08_14:37:41.858958,0.37614185921548415,-0.7012622720897532,0.058139
2022-06-08_14:38:02.600918,0.432432432432428,-0.5606166783461708,0.546112
2022-06-08_14:42:50.816182,0.31397174254317317,-0.27491408934707806,0.555807
2022-06-08_14:59:35.858726,0.4284949116229342,-0.20876826722338038,0.160696
2022-06-09_07:03:04.427149,0.31479538300105414,0.13850415512466352,0.152069
2022-06-09_07:03:50.654169,0.31512605042016695,-0.06934812760055475,0.002179
2022-06-09_08:24:35.790653,0.3602676273803507,0.0,0.003828
2022-06-10_09:21:13.708055,0.31496062992126816,-0.139275766016711,0.010714
2022-06-10_09:21:13.709305,0.31479538300105414,-0.139275766016711,0.009464
2022-06-30_07:00:59.587743,0.34602076124568004,0.233281493001547,0.127811
2022-06-30_14:48:59.541987,0.7075471698113178,-0.15649452269170805,0.027296
2022-07-01_07:00:43.343168,0.45172219085263254,0.37481259370315545,0.982575
2022-07-01_07:00:57.744846,0.3368893879842849,0.9701492537313339,0.137516
2022-07-01_07:01:03.182721,0.5067567567567544,-0.8166295471417895,0.678422
2022-07-04_07:00:00.514365,0.3697834125726329,-0.43134435657801173,0.069825
2022-07-04_07:00:11.716790,0.8403361344537785,-0.0717360114777632,0.401153
2022-07-04_07:00:32.111239,0.31397174254317317,-0.14388489208632116,0.001256
2022-07-04_07:00:47.995089,0.3680336487907443,-0.2153625269203152,0.001525
2022-07-04_07:01:26.220168,0.41906757464640343,-0.14378145219267058,0.001273
2022-07-07_07:06:11.421322,0.4753416518122444,-0.07468259895444529,0.003496
2022-07-07_14:10:52.345183,0.42604990870358517,-0.1512859304084735,0.00975
2022-07-13_07:00:00.897274,0.3030303030302939,-0.535987748851463,0.048776
2022-07-21_12:23:42.233665,0.31585596967782514,0,0
2022-08-10_07:00:17.476393,1.0152284263959421,0.0,0.06473
2022-08-10_07:00:35.135464,0.31746031746031633,-0.36982248520709415,0.539052
2022-08-15_07:00:00.694264,0.3278688524590123,-0.07710100231304029,0.080151
2022-08-16_07:00:00.488229,0.33670033670034627,-0.2360346184107076,0.371299
2022-08-16_14:24:30.999850,0.3424657534246478,0.0,0.002711
2022-08-18_07:00:04.682046,0.31585596967782514,0.8239700374531811,0.234194
2022-08-18_07:00:04.772667,0.31585596967782514,0.8239700374531811,0.143573
2022-08-18_07:00:06.258735,0.3154574132492094,-0.8239700374531811,0.657505
2022-08-18_07:00:07.671746,0.3154574132492094,-0.8239700374531811,0.244494
2022-09-05_07:15:11.312916,0.3780718336483968,0.07288629737609575,0.032262
2022-09-06_08:24:04.082460,0.3076923076922977,-0.14388489208632116,0.056232
2022-09-07_07:00:00.388356,0.6238303181534732,-0.73260073260073,0.047403
2022-09-07_14:35:24.813599,0.3490401396160525,-0.20876826722338038,0.240849
2022-09-07_14:37:14.034438,0.4579278763594763,0.4115226337448652,0.569124
