timestamp,FROTO.E_price_change,TOASO.E_price_change,interval
2022-01-03_09:03:47.516092,0.3236245954692629,0.12476606363069909,0.748178
2022-01-06_07:01:30.004812,0.35019455252918164,0.17055144968731728,0.9471
2022-01-14_07:00:00.185195,0.4368401892974161,0.5451241671714069,0.474222
2022-01-14_07:05:51.761850,0.5116959064327409,0.0,0.107792
2022-01-18_14:25:58.452285,0.31483667847305163,0.0,0.0
2022-01-21_07:00:01.192859,0.3061615001913598,1.3627514600908608,0.880626
2022-01-21_14:16:38.623259,0.38654812524159254,0.0,0.00749
2022-01-24_11:13:56.014348,0.6155108740254489,-0.06770480704130222,0.425529
2022-01-25_09:36:12.461597,0.49648324369051533,0.0,0.819009
2022-01-25_09:36:17.343321,0.577081615828523,0.06720430107527431,0.532057
2022-01-26_07:02:04.901248,0.6947282386595921,0.19379844961240345,0.555991
2022-01-26_11:48:00.125313,0.31910650179496347,0.0,0.0
2022-02-11_13:52:45.036806,0.32206119162641045,0.05688282138793799,0.858299
2022-02-16_07:00:00.152945,0.3446955189582601,-0.2331002331002363,0.643671
2022-02-23_07:00:00.223781,0.4838109415705283,0.42092603728201006,0.394628
2022-02-24_07:30:01.116861,0.5446166736489344,0.7452574525745215,0.198046
2022-02-24_07:38:48.715872,0.32867707477404196,0.0,0.000372
2022-02-24_10:11:58.485070,0.7903494176372705,-0.06724949562877391,0.001061
2022-02-25_07:00:00.210340,0.8130081300812941,0.45992115637318864,0.620113
2022-02-25_07:00:53.854111,0.6860371267150889,0.0,0.708659
2022-02-25_09:45:10.982428,0.39169604386994905,-0.06439150032195862,0.616924
2022-02-28_07:00:01.134256,0.3500583430571691,0.8360128617363349,0.065832
2022-02-28_07:00:02.247318,0.35019455252918164,0.6418485237484006,0.95277
2022-03-02_12:00:27.135203,0.3095975232198178,0.0,0.36098
2022-03-02_12:04:30.907148,0.30923850019326515,0.0,0.002662
2022-03-04_07:00:01.530531,0.5430566330488773,0.2602472348731233,0.245332
2022-03-07_07:00:02.579740,0.40209087253719744,0.402684563758382,0.756627
2022-03-08_07:00:01.335220,0.45342126957954587,0.9040333796940248,0.76487
2022-03-10_14:54:43.195043,0.38054968287526414,0.0,0.0
2022-03-14_08:00:00.380122,0.42275172943888606,0.0,0.314817
2022-03-14_08:35:05.136955,0.3034901365705611,-0.06578947368420796,0.109053
2022-03-15_07:03:46.555458,0.5169867060561328,-0.12682308180089752,0.024039
2022-03-15_09:22:00.614520,0.3937007874015741,-0.06353240152476847,0.000559
2022-03-17_07:39:00.915239,0.47217537942665366,0.06238303181533844,0.084956
2022-03-22_07:07:11.451977,0.36826247070640417,-0.06618133686300265,0.535145
2022-03-23_07:00:56.951263,0.46801872074881956,0.1945525291828787,0.065307
2022-03-23_07:01:04.929455,0.4048582995951344,-0.1945525291828787,0.034521
2022-04-25_07:00:02.493864,0.3693754197447996,-0.6203473945409321,0.006765
2022-04-25_07:00:10.707814,0.536732640053672,0.37037037037037646,0.905909
2022-04-28_07:00:01.425533,0.42875989445909646,0.37664783427495685,0.087506
2022-04-28_07:00:01.988159,0.3627968337730936,0.37664783427495685,0.52488
2022-05-05_07:00:02.328984,0.33057851239668423,-0.6250000000000089,0.194618
2022-05-10_14:50:37.146720,0.40567951318457585,0.0,0.001254
2022-05-11_14:59:57.084738,0.339558573853993,0.0,0.544449
2022-05-27_07:12:12.449903,0.31195840554592014,0.0,0.000748
2022-05-30_07:44:29.379594,0.340136054421758,-0.13149243918475495,0.24203
2022-06-08_14:34:29.180974,0.4300363876943436,0.1494768310911887,0.800206
2022-06-14_07:01:01.507915,0.3454231433505983,0.1524390243902385,0.729428
2022-06-15_07:19:19.052321,0.3103448275862064,0.0,0.826612
2022-06-17_07:01:55.934745,0.34843205574912606,0.0,0.256662
2022-06-27_07:00:19.382435,0.3092783505154628,-0.2349256068911565,0.190059
2022-06-27_07:13:55.768755,0.3415300546448119,-0.15552099533437946,0.018607
2022-06-29_14:59:56.122080,0.3669724770642091,-0.08203445447088065,0.209127
2022-06-30_07:00:00.409528,0.33395176252319914,-0.577081615828523,0.582523
2022-07-05_07:09:13.076297,0.3044140030441511,0.08090614886731018,0.567481
2022-07-13_12:30:35.889835,0.525722868944789,0.08071025020177647,0.225182
2022-07-20_08:03:30.519377,0.4602991944764101,-0.07874015748030594,0.047184
2022-07-26_08:43:45.747765,0.39440659734673034,0.0,0.0
2022-08-18_08:07:23.961488,0.32845625559869696,0.0,0.002449
