timestamp,KOZAA.E_price_change,KOZAL.E_price_change,interval
2022-07-14_11:45:34.968838,0.46874999999999556,0.0,0.001484
2022-07-18_07:03:03.101862,1.5936254980079667,0.19011406844107182,0.035678
2022-07-18_07:03:03.104978,0.3949447077409074,0.19011406844107182,0.032562
2022-07-18_07:03:03.107941,0.39463299131807794,0.19011406844107182,0.029599
2022-07-18_07:03:17.241571,1.0301109350237647,0.12682308180089752,0.010602
2022-07-28_07:01:32.884459,0.3607503607503615,0.0,0.00168
2022-07-29_07:59:36.024031,0.5061460592914013,0.0,0.001562
2022-08-08_07:00:03.690993,0.4084411164057222,0.0,0.072463
2022-08-11_09:03:42.918736,0.853374709076804,0.06702412868633267,0.012781
2022-09-07_14:38:22.277320,0.7601935038009655,0.17401392111369152,0.026718
2022-09-07_14:38:22.277595,0.4801097393690057,0.17401392111369152,0.026443
2022-09-07_14:38:22.279248,0.7549759780370646,0.17401392111369152,0.02479
2022-09-08_07:00:07.242751,0.46204620462046986,0.27932960893854997,0.177308
2022-09-08_12:45:50.057069,0.3313452617627499,0.0,0.0
2022-09-08_14:47:25.579678,0.4701141705842904,0.0,0.0
2022-09-14_07:00:00.374754,0.6276150627614996,-0.39592760180995334,0.067862
2022-09-14_07:00:00.845436,0.488485694347518,-0.39592760180995334,0.081726
2022-09-14_07:00:03.368021,0.34843205574912606,0.8522727272727293,0.267466
2022-09-14_07:00:05.731091,0.6997900629811094,-0.2272727272727204,0.074118
2022-09-14_09:59:28.683436,0.3566333808844524,0.0,0.0
2022-09-14_10:19:40.454333,0.35211267605634866,0.05621135469364713,0.078413
2022-09-15_14:21:21.712439,0.3324468085106336,0.05205622071837723,0.004368
2022-09-20_07:00:00.484699,0.35460992907800915,-0.7319819819819884,0.019468
2022-09-20_07:00:00.860358,0.3543586109142405,0.0,0.0
2022-09-20_07:00:01.669236,0.7773851590106018,0.7843137254901933,0.446633
2022-09-20_07:00:08.499921,0.5641748942172065,0.0,0.0
2022-09-20_07:00:10.622049,0.6311360448807868,-0.38975501113585054,0.328736
2022-09-21_07:03:39.889862,0.35385704175512345,0.0,0.0
2022-09-21_07:03:43.896388,0.35335689045936647,0.05540166204986985,0.012516
2022-09-21_13:25:34.144398,0.34129692832765013,0.10405827263266776,0.012843
2022-09-21_13:43:35.028499,0.40431266846361336,0.0,0.000762
2022-09-21_14:56:12.545035,0.7412398921832875,0.05107252298264253,0.002173
2022-09-21_14:56:13.657610,0.3355704697986628,-0.05107252298264253,0.000444
2022-09-21_14:57:02.977813,0.40322580645162365,0.0,0.0
2022-09-23_14:52:08.744589,0.47201618341199403,0.0,0.002308
2022-09-27_12:43:43.879733,0.4160887656033285,0.05146680391148184,0.005854
2022-09-29_14:33:23.043490,0.38461538461538325,0.0,0.001487
2022-09-29_14:43:10.412464,0.3012048192771122,-0.05543237250553723,0.000616
2022-09-30_07:47:24.099311,0.30326004548901775,0.0,0.002498
2022-09-30_08:17:06.829976,0.30188679245282124,0.0,0.001754
2022-10-06_07:02:04.720963,0.34746351633079264,0.05252100840336116,0.20112
2022-10-12_07:11:35.025696,0.328947368421062,0.0,0.002195
2022-10-17_07:12:40.622440,0.31230480949406836,-0.04962779156327812,0.468668
2022-10-17_07:15:54.064071,0.3095975232198178,0.0,0.000492
2022-10-17_07:22:58.198578,0.3669724770642091,0.0,0.000574
