timestamp,YKBNK.E_price_change,AKBNK.E_price_change,interval
2022-01-18_14:25:42.979814,0.5050505050504972,-0.39525691699604515,0.025947
2022-02-24_07:33:57.140481,0.5464480874316946,-0.6868131868131844,0.958805
2022-02-25_07:00:02.236446,0.557103064066844,-0.9915014164305846,0.193052
2022-08-26_14:39:48.732546,0.5805515239477588,-0.24650780608053147,0.245681
2022-09-13_09:38:24.369281,0.6355932203389925,1.1475409836065653,0.460907
2022-09-13_10:27:39.335429,0.5387931034482651,0.22246941045607205,0.605479
2022-09-13_10:28:36.363625,0.5347593582887722,0.22062879205735353,0.18827
2022-09-13_13:05:10.980152,0.5393743257820827,-0.6662965019433642,0.320889
2022-09-14_07:00:00.490786,1.0701545778834642,-0.838709677419347,0.176051
2022-09-14_07:00:01.986509,1.1904761904761862,-1.0342598577892659,0.680328
2022-09-14_07:00:07.690931,0.8423586040914532,-0.5829015544041471,0.659848
2022-09-14_07:00:08.841664,0.6002400960384069,-1.5032679738562038,0.2803
2022-09-14_07:19:20.432879,0.6082725060827299,0.32509752925877766,0.299557
2022-09-14_07:19:23.321206,0.60606060606061,0.39011703511053764,0.395911
2022-09-15_07:00:00.376201,0.5188067444876765,-0.8415147265077083,0.040696
2022-09-15_07:00:04.808483,0.6451612903225712,-0.3506311360448766,0.304899
2022-09-15_07:02:07.624405,0.512820512820511,0.2812939521800173,0.052259
2022-09-16_07:00:01.672257,0.8862629246676468,0.8403361344537785,0.068336
2022-09-16_07:28:31.020292,0.5641748942172065,-0.1640689089417613,0.010989
2022-09-16_07:28:31.023712,1.2658227848101333,-0.1640689089417613,0.007569
2022-09-16_07:28:31.030266,0.9817671809256634,-0.1640689089417613,0.001015
2022-09-20_07:01:37.047622,0.5610098176718203,0.2581755593803692,0.259976
2022-09-20_07:03:00.592729,0.99290780141843,0.2613240418118501,0.532016
2022-11-16_14:55:28.267587,0.9242144177449063,0.36014405762305746,0.766078
2022-11-16_14:55:28.267809,0.6410256410256387,0.36014405762305746,0.765856
2023-01-12_11:19:06.062921,0.5807200929152101,0.06313131313131493,0.691405
2023-01-12_11:19:36.243540,0.694444444444442,-0.06313131313131493,0.003291
2023-01-13_07:13:02.359895,0.5524861878453136,0.12113870381587066,0.023323
2023-01-17_14:56:36.112254,0.50761421319796,-0.05714285714286671,0.575542
2023-02-06_07:00:01.215577,1.2485811577752637,1.9071837253655355,0.898321
2023-02-08_07:11:34.056288,0.8905852417302906,-0.1427551748750977,0.190288
2023-02-08_07:42:01.620761,0.6410256410256387,1.0869565217391353,0.49086
2023-02-08_07:42:02.768256,0.5121638924455718,-0.7246376811594235,0.004416
2023-02-08_07:42:04.816191,0.512820512820511,-0.7246376811594235,0.004072
2023-02-15_07:00:06.021496,0.5813953488372103,1.2903225806451646,0.6595
2023-02-15_07:00:06.097381,0.5813953488372103,1.2903225806451646,0.583615
2023-02-15_07:00:08.286499,0.5813953488372103,1.2903225806451646,0.24389
2023-02-15_07:00:12.204499,0.6976744186046435,-1.2250161186331487,0.290404
2023-02-15_07:00:30.221964,0.694444444444442,-0.9646302250803762,0.353955
2023-02-15_07:00:37.795550,0.5780346820809301,0.7712082262210762,0.90692
2023-02-15_07:01:15.080837,0.9291521486643362,0.3863490019317517,0.985339
2023-02-15_07:01:19.507237,0.5780346820809301,0.6451612903225712,0.541101
2023-02-15_07:18:12.751446,0.6810442678774065,-0.06305170239595537,0.413571
2023-02-15_07:18:14.221285,0.6802721088435382,-0.06305170239595537,0.227925
2023-02-15_07:18:15.721809,0.9070294784580435,-0.18939393939394478,0.600157
2023-02-15_07:18:17.037741,0.9070294784580435,-0.18939393939394478,0.284225
2023-02-15_07:23:57.532316,0.6787330316742057,0.06261740763933155,0.382311
2023-02-15_07:23:59.166064,0.6787330316742057,0.06261740763933155,0.748563
2023-02-16_07:04:27.409830,0.5219206680584509,-0.17331022530329143,0.427913
2023-02-16_08:24:07.144294,0.6578947368421018,-0.4326328800988932,0.468217
2023-03-20_07:07:31.816391,0.7766990291262044,-0.10928961748633004,0.201701
2023-03-20_07:07:31.818189,0.8729388942773975,-0.10928961748633004,0.199903
2023-03-20_07:07:31.820993,0.8720930232558155,-0.10928961748633004,0.197099
2023-05-10_14:06:07.232160,0.6647673314339908,0.0,0.0
2023-05-11_11:10:57.021888,0.7901668129938644,0.44345898004434225,0.772247
2023-05-11_11:10:57.025266,0.6129597197898518,0.44345898004434225,0.768869
2023-05-12_07:18:06.690491,0.5867560771165126,0.10498687664042272,0.513059
