timestamp,AKBNK.E_price_change,ISCTR.E_price_change,interval
2022-09-14_07:18:21.621478,0.3311258278145601,0.0,0.0
2022-09-14_07:18:47.238482,0.5256241787122251,0.0,0.000542
2022-09-14_07:18:48.213178,0.588235294117645,0.0,0.248334
2022-09-14_07:46:28.437176,0.34602076124568004,0.0,0.085432
2022-09-14_11:09:03.263596,0.3436426116838476,0.0,0.115965
2022-09-15_07:00:10.086324,0.3501400560224077,-0.10224948875254825,0.131457
2022-09-15_07:12:41.081218,0.3434065934065922,-0.28985507246377384,0.041407
2022-09-16_07:00:02.873505,0.33444816053511683,0.0,0.116945
2022-09-16_07:00:05.263274,0.5029337803855727,2.7710843373494054,0.072645
2022-09-16_07:00:18.879779,0.3358522250209939,0.0,0.084557
2022-09-16_07:01:14.978706,0.8403361344537785,0.0,0.088366
2022-09-16_07:01:16.225551,0.3352891869237151,0.0,0.056334
2022-09-16_07:01:59.001742,0.33277870216306127,0.0,0.096496
2022-09-16_07:02:03.994223,0.4983388704318914,-0.11961722488038617,0.140314
2022-09-16_07:02:09.739743,0.4966887417218624,0.0,0.068691
2022-09-16_07:05:55.395795,0.7413509060955503,0.0,0.001672
2022-09-16_07:07:22.912714,0.33222591362125353,0.11764705882353343,0.232843
2022-09-16_07:29:08.845843,0.4061738424045558,0.11454753722794919,0.101236
2022-09-16_07:29:10.947730,0.4862236628849326,-0.11454753722794919,0.004666
2022-09-16_07:29:16.286556,0.4071661237784907,-0.11494252873562871,0.000551
2022-09-16_07:29:17.342919,0.8130081300812941,0.11494252873562871,0.211051
2022-09-16_07:30:09.239989,0.32414910858995505,0.11454753722794919,0.229518
2022-09-16_07:30:56.914063,0.49059689288635244,0.11507479861909697,0.150596
2022-09-16_07:32:08.495396,0.3278688524590123,0.0,0.071814
2022-09-16_07:41:58.137125,0.3278688524590123,0.0,0.000337
2022-09-16_07:43:48.117740,0.40849673202614234,0.0,0.09288
2022-09-16_07:43:48.118449,0.40816326530612734,0.0,0.092171
2022-09-16_07:43:50.592397,0.40816326530612734,0.0,0.135938
2022-09-16_07:46:38.511883,0.32626427406199365,-0.11111111111110628,0.173434
2022-09-16_07:46:52.116870,0.32599837000815146,0.0,0.284672
2022-09-16_11:06:14.493679,0.32388663967610754,0.0,0.001877
2022-09-19_07:00:00.169189,0.3273322422258529,-0.8139534883720989,0.017945
2022-09-19_07:00:00.951526,0.40950040950040734,0.8139534883720989,0.244641
2022-09-19_07:00:01.252120,0.3276003276003303,0.8139534883720989,0.093168
2022-09-19_07:00:03.380848,0.32679738562091387,-0.93131548311991,0.131814
2022-09-19_07:00:07.904601,0.3265306122449019,-0.5807200929152101,0.039857
2022-09-19_07:00:21.777796,0.5728314238952592,0.0,0.032575
2022-09-19_07:00:22.541251,0.3273322422258529,0.0,0.099964
2022-09-19_07:00:23.675309,0.5728314238952592,0.0,0.096723
2022-09-19_07:00:24.554000,0.5728314238952592,0.0,0.120437
2022-09-19_07:00:25.079695,0.654664484451728,0.0,0.0
2022-09-19_07:00:34.193813,0.4893964110929794,-0.3472222222222321,0.27239
2022-09-20_07:00:00.095637,0.7880910683012221,0.1242236024844745,0.238614
2022-09-20_07:00:01.208260,0.34572169403630504,-0.496894409937898,0.090782
2022-09-20_07:00:01.347718,0.34632034632033903,-0.496894409937898,0.002298
2022-09-20_07:00:02.570124,0.5176876617773996,-0.24721878862794533,0.072775
2022-09-20_07:00:59.178457,0.3493449781659441,-0.12468827930174342,0.002576
2022-09-20_09:01:44.477024,0.3530450132391838,0.0,0.0
2022-09-22_07:00:03.751565,0.34482758620688614,-0.12610340479193294,0.098292
2022-09-22_07:00:10.026988,0.3454231433505983,-0.12610340479193294,0.065774
2022-09-23_07:00:04.722327,0.3451251078516071,0.0,0.091993
2022-09-26_14:26:07.787720,0.35842293906809264,0.0,0.025944
2022-09-26_14:26:32.443225,0.3571428571428559,0.1312335958005173,0.145557
2022-10-04_07:00:00.140036,0.5468749999999911,0.11709601873535203,0.285752
2022-10-04_07:00:00.713392,0.391236306729259,0.0,0.001081
2022-10-04_07:00:01.525236,0.31250000000000444,-0.3525264394829586,0.028146
2022-10-04_07:00:01.626962,0.31250000000000444,-0.11737089201877549,0.000237
2022-10-04_07:00:02.196490,0.390625,-0.3529411764705781,0.05418
2022-10-04_07:00:02.242417,0.31225604996096834,-0.3529411764705781,0.008253
2022-10-04_07:00:28.640553,0.31372549019608176,-0.1175088131609936,0.003962
2022-10-04_07:00:29.141705,0.46874999999999556,0.0,0.133317
2022-10-04_07:00:41.264712,0.31347962382444194,0.35460992907800915,0.270587
2022-10-17_08:49:44.750081,0.33921302578019397,0.0,0.005937
2022-10-18_07:00:00.549211,0.31565656565657463,0.40404040404040664,0.033097
2022-10-18_07:00:10.597927,0.37878787878788955,0.3030303030302939,0.137176
2022-10-18_07:12:39.140267,0.3209242618742003,0.0,0.0
2022-10-20_07:00:00.605679,0.4481434058898781,0.0,0.0
2022-11-16_07:07:20.247629,0.3109452736318463,0.10351966873705098,0.026514
2022-11-18_08:32:38.170959,0.3694581280788256,0.0,0.006701
2022-11-18_08:32:38.175297,0.3076923076922977,0.0,0.002363
2022-12-07_14:24:15.370371,0.3190810465858229,0.10131712259371373,0.154412
2022-12-14_14:55:34.157362,0.3525264394829586,0.45495905368517775,0.109811
2022-12-14_14:59:09.724333,0.5232558139534937,0.0,0.169861
2022-12-14_14:59:32.193539,0.34822983168891763,0.0,0.0
2022-12-14_14:59:32.876596,0.34822983168891763,-0.17969451931716396,0.174533
2022-12-15_07:00:00.464465,0.33783783783782884,-0.2622377622377714,0.029146
2022-12-19_07:00:02.747796,0.420831141504463,-0.23752969121140222,0.081245
2022-12-19_07:00:26.857190,0.5208333333333259,0.0,0.0
2022-12-20_07:00:04.442969,0.5893909626718985,-0.44543429844097204,0.025421
2022-12-20_07:01:48.094969,0.3984063745019917,0.22371364653244186,0.21439
2022-12-20_07:05:22.579343,0.30211480362538623,0.0,0.0
2023-01-02_07:00:16.820221,0.3039513677811634,0.0,0.0
2023-01-05_14:03:34.098350,0.48309178743961567,0.0,0.0
2023-01-09_13:41:23.292098,0.33222591362125353,0.0,0.011376
2023-01-09_13:41:23.295248,0.4432132963988922,0.0,0.008226
2023-01-10_12:07:58.950363,0.4474272930648837,0.8643042350907626,0.157425
2023-01-11_07:00:02.772438,0.7593457943925186,0.08833922261484162,0.004676
2023-01-12_10:40:31.818179,0.4469987228607808,-0.09727626459143934,0.003353
2023-01-12_10:40:36.251172,0.6377551020408267,-0.09718172983479434,0.001793
2023-01-12_10:40:40.512530,0.8269720101781175,0.0,0.0
2023-01-12_10:40:44.713227,0.8264462809917328,0.0,0.0
2023-01-12_10:41:36.155281,0.8264462809917328,0.0,0.0
2023-01-12_10:41:47.679748,0.381436745073116,0.0,0.0
2023-01-12_10:41:53.503236,0.5089058524172962,0.0,0.004659
2023-01-12_10:42:21.572828,0.3809523809523707,0.0,0.0
2023-01-12_10:42:36.732720,0.3162555344718543,0.0,0.013229
2023-01-12_13:26:01.049513,0.6101281269066394,0.0,0.003835
2023-01-12_13:26:27.531162,0.42630937880634434,0.0,0.006753
2023-01-12_13:26:46.220761,0.3039513677811634,0.0,0.010958
2023-01-12_13:33:57.762949,0.42630937880634434,0.0,0.012148
