timestamp,AKBNK.E_price_change,ISCTR.E_price_change,interval
2022-02-24_07:33:11.312582,0.4166666666666652,0.5102040816326481,0.322853
2022-02-24_07:33:32.546033,0.6839945280437743,-0.5063291139240533,0.388365
2022-02-24_07:33:32.547633,0.4092769440654953,-0.5063291139240533,0.386765
2022-02-24_07:33:40.778223,0.4115226337448652,0.3802281368821214,0.088538
2022-02-24_07:33:47.642370,0.4098360655737654,-0.3807106598984866,0.366743
2022-02-24_07:35:08.474280,0.5524861878453136,-0.3831417624521105,0.073065
2022-02-25_07:00:00.174362,0.42016806722688926,0.6535947712418277,0.363481
2022-02-25_07:00:18.601869,0.4243281471004279,-0.26041666666667407,0.089637
2022-04-11_12:25:59.259418,0.34129692832765013,0.0,0.730858
2022-04-29_07:36:42.566698,0.33444816053511683,0.09478672985780978,0.187676
2022-05-12_07:00:02.598705,0.356718192627814,0.3898635477582957,0.13747
2022-05-20_07:24:47.012389,0.3654080389768666,-0.09842519685039353,0.001991
2022-06-27_07:02:16.138043,0.35211267605634866,-0.4366812227074135,0.52703
2022-08-10_07:58:27.624086,0.31088082901553626,0.0,0.002461
2022-08-10_07:58:27.627451,0.31023784901758056,0.0,0.000335
2022-08-18_11:00:31.891434,0.7136485280999194,0.29112081513829047,0.95164
2022-08-18_11:00:34.578988,0.5371530886302489,-0.29112081513829047,0.264086
2022-08-18_11:01:02.126802,0.35460992907800915,0.4341534008682979,0.088928
2022-08-22_07:00:00.390609,0.7677543186180413,-0.5763688760807018,0.061618
2022-08-22_07:00:01.735654,0.8670520231213841,0.4322766570605152,0.337269
2022-08-26_07:45:49.546978,0.32102728731941976,0.0,0.105078
2022-08-26_07:45:49.550220,0.3207698476343168,0.0,0.101836
2022-08-26_13:47:24.407589,0.31471282454760274,-0.248447204968949,0.232238
2022-08-26_14:34:01.116001,0.3215434083601254,-0.2557544757033181,0.031124
2022-08-26_14:35:40.344061,0.3297609233305909,-1.059602649006619,0.067699
2022-08-26_14:36:43.394570,0.4125412541254203,0.0,0.0
2022-08-26_14:39:00.565777,0.32546786004881145,0.0,0.0
2022-08-29_07:05:15.454436,0.33057851239668423,-0.12870012870012104,0.00161
2022-09-06_08:17:40.986134,0.3455425017277136,0.7291666666666696,0.879187
2022-09-06_08:46:04.346006,0.3429355281207025,0.6072874493927127,0.308891
2022-09-07_07:00:00.640243,0.32113037893384266,-1.0476190476190528,0.005147
2022-09-07_07:00:00.640614,0.3856041131105492,-1.0476190476190528,0.004776
2022-09-07_07:00:06.954551,0.3207184092366866,-1.4381591562799612,0.01557
2022-09-07_07:00:16.580590,0.322997416020665,1.245210727969348,0.903326
2022-09-07_07:00:47.957086,0.3295978905734964,0.0,0.0
2022-09-07_07:00:51.515206,0.33178500331785266,0.0,0.0
2022-09-07_07:55:06.149060,0.39344262295082366,0.3824091778202643,0.56034
2022-09-07_14:47:10.470088,0.31867431485022024,0.2859866539561384,0.136016
2022-09-07_14:49:54.857053,0.319284802043418,-0.2881844380403509,0.005834
2022-09-12_07:00:00.191257,0.3026634382566673,0.8276899924755554,0.877059
2022-09-12_07:00:07.584557,0.5418422636965792,-1.5060240963855387,0.445152
2022-09-12_07:00:07.982897,0.30030030030030463,-1.5060240963855387,0.046812
2022-09-12_07:00:15.778657,0.3012048192771122,0.8252063015753874,0.200247
2022-09-12_07:04:35.186761,0.35440047253396667,-0.07473841554559435,0.490292
2022-09-12_07:05:23.723823,0.35460992907800915,-0.07479431563202077,0.001179
2022-09-12_07:11:10.505450,0.30284675953966556,-0.4562737642585635,0.563381
2022-09-12_07:18:03.461438,0.6785934608266597,0.0,0.0
2022-09-13_07:00:03.188065,0.3325942350332678,-0.3971405877680745,0.603937
2022-09-13_07:10:13.431343,0.5178365937859697,-0.2483443708609201,0.43834
2022-09-13_07:10:25.521606,0.34403669724769603,0.33057851239668423,0.990705
2022-09-13_07:21:34.347920,0.4899292324441973,-0.23980815347721673,0.076989
2022-09-13_09:38:03.053980,0.33277870216306127,0.0,0.0
2022-09-13_09:38:09.684528,0.4977876106194712,0.0,0.0
2022-09-13_09:38:26.829829,0.5449591280654031,0.0,0.0
2022-09-13_09:38:26.830188,0.3252032520325132,0.0,0.0
2022-09-13_09:38:52.488361,0.7559395248380119,0.0,0.0
2022-09-13_09:38:52.491122,0.6966773847802754,0.0,0.0
2022-09-13_09:38:52.491988,2.4271844660194164,0.0,0.0
2022-09-13_09:39:53.767475,0.42964554242750363,0.0,0.0
2022-09-13_09:43:29.157540,0.37573805689747886,0.0,0.0
2022-09-13_10:07:35.606866,0.3945885005637084,0.25423728813558366,0.233797
2022-09-13_10:07:54.333988,0.3325942350332678,-0.2527379949452291,0.581128
2022-09-13_10:18:12.411371,0.331308669243513,0.08503401360544505,0.308886
2022-09-13_10:20:20.819207,0.3325942350332678,-0.08467400508043177,0.001989
2022-09-13_10:25:31.745654,0.33651149747615516,-0.08643042350906516,0.211886
2022-09-13_10:36:32.008691,0.37573805689747886,0.2508361204013321,0.458867
2022-09-13_13:01:45.335543,0.44893378226711356,-0.16891891891892552,0.263959
2022-09-13_13:02:23.759595,0.3950338600451575,-0.16963528413909135,0.271377
2022-09-13_13:03:22.260631,0.39886039886039004,0.2553191489361728,0.94929
2022-09-13_14:17:21.319469,0.46136101499423265,0.08673026886383273,0.003783
2022-09-13_14:37:45.051106,0.35842293906809264,0.0,0.0
2022-09-13_14:37:45.072995,0.657108721624855,0.0,0.0
2022-09-13_14:37:45.223703,0.30066145520144527,0.0,0.0
